Cluster name	Count - Sequences
28912_Tm=51.1_pH=7.0	3
2889_Tm=54.3_pH=7.0	3
28631_Tm=42.1_pH=7.0	3
28452_Tm=25.0_pH=7.0	3
28387_Tm=41.1_pH=8.0	3
26879_Tm=38.8_pH=7.0	3
26471_Tm=39.0_pH=7.0	3
26458_Tm=56.9_pH=7.0	3
25644_Tm=50.0_pH=6.8	3
24566_Tm=49.3_pH=7.0	3
24480_Tm=49.1_pH=7.0	3
23932_Tm=44.1_pH=7.0	3
23862_Tm=55.0_pH=7.0	3
22785_Tm=45.3_pH=7.0	3
22673_Tm=44.6_pH=7.0	3
21715_Tm=45.0_pH=7.0	3
21330_Tm=47.6_pH=6.6	3
20516_Tm=55.8_pH=7.0	3
20163_Tm=25.0_pH=8.0	3
20024_Tm=48.2_pH=7.0	3
18261_Tm=53.8_pH=7.0	3
14474_Tm=58.5_pH=7.0	3
13856_Tm=20.0_pH=7.0	3
1370_Tm=57.2_pH=7.0	3
12956_Tm=25.0_pH=7.5	3
12926_Tm=50.0_pH=	3
1187_Tm=60.9_pH=7.0	3
11647_Tm=48.4_pH=7.0	3
10043_Tm=43.1_pH=7.0	3
9820_Tm=46.2_pH=7.0	2
9812_Tm=45.5_pH=7.0	2
9763_Tm=51.1_pH=7.0	2
9753_Tm=50.4_pH=7.0	2
9634_Tm=45.8_pH=7.0	2
9631_Tm=57.1_pH=7.0	2
9625_Tm=47.3_pH=7.0	2
9623_Tm=55.9_pH=7.0	2
9478_Tm=55.3_pH=7.0	2
9456_Tm=50.9_pH=7.0	2
942_Tm=46.4_pH=7.0	2
9410_Tm=44.3_pH=7.0	2
9275_Tm=39.6_pH=7.0	2
921_Tm=48.1_pH=7.0	2
9126_Tm=41.3_pH=7.0	2
9093_Tm=79.3_pH=7.0	2
9062_Tm=56.9_pH=7.0	2
9036_Tm=54.4_pH=7.0	2
9026_Tm=50.7_pH=7.0	2
9021_Tm=47.1_pH=7.0	2
9015_Tm=42.8_pH=7.0	2
9007_Tm=38.7_pH=7.0	2
8982_Tm=51.0_pH=7.0	2
897_Tm=56.3_pH=7.0	2
8947_Tm=49.5_pH=7.0	2
892_Tm=51.1_pH=7.0	2
8861_Tm=57.4_pH=7.0	2
8802_Tm=54.4_pH=7.0	2
8783_Tm=45.2_pH=7.0	2
8686_Tm=47.5_pH=7.0	2
8667_Tm=53.5_pH=7.0	2
8654_Tm=50.0_pH=7.0	2
8614_Tm=44.6_pH=7.0	2
8603_Tm=58.8_pH=7.0	2
8553_Tm=51.7_pH=7.0	2
8531_Tm=44.0_pH=7.0	2
8515_Tm=43.3_pH=7.0	2
8491_Tm=48.4_pH=7.0	2
8461_Tm=45.6_pH=7.0	2
8453_Tm=49.3_pH=7.0	2
8403_Tm=45.0_pH=7.0	2
8352_Tm=53.0_pH=7.0	2
8350_Tm=40.7_pH=7.0	2
8306_Tm=57.1_pH=7.0	2
8192_Tm=44.2_pH=7.0	2
8136_Tm=46.4_pH=7.0	2
7992_Tm=52.9_pH=7.0	2
7976_Tm=52.2_pH=7.0	2
7911_Tm=50.0_pH=7.0	2
7849_Tm=53.7_pH=7.0	2
7760_Tm=43.0_pH=7.0	2
7714_Tm=58.7_pH=7.0	2
7628_Tm=60.3_pH=7.0	2
7608_Tm=44.6_pH=7.0	2
7597_Tm=53.3_pH=7.0	2
7580_Tm=45.9_pH=7.0	2
7572_Tm=53.4_pH=7.0	2
7569_Tm=46.6_pH=7.0	2
7567_Tm=53.9_pH=7.0	2
7560_Tm=52.7_pH=7.0	2
7536_Tm=49.0_pH=7.0	2
7445_Tm=48.4_pH=7.0	2
7325_Tm=48.7_pH=7.0	2
7285_Tm=50.0_pH=7.0	2
7273_Tm=55.0_pH=7.0	2
7254_Tm=51.2_pH=7.0	2
7178_Tm=49.7_pH=7.0	2
7163_Tm=42.3_pH=7.0	2
7127_Tm=53.0_pH=7.0	2
7095_Tm=57.2_pH=7.0	2
7074_Tm=49.1_pH=7.0	2
7063_Tm=49.3_pH=7.0	2
7050_Tm=52.6_pH=7.0	2
7039_Tm=50.5_pH=7.0	2
7001_Tm=41.9_pH=7.0	2
6989_Tm=41.8_pH=7.0	2
6985_Tm=46.2_pH=7.0	2
6969_Tm=60.1_pH=7.0	2
6865_Tm=50.6_pH=7.0	2
6818_Tm=45.3_pH=7.0	2
6787_Tm=57.3_pH=7.0	2
6764_Tm=61.1_pH=7.0	2
6762_Tm=51.8_pH=7.0	2
6755_Tm=60.9_pH=7.0	2
6733_Tm=43.9_pH=7.0	2
6726_Tm=45.2_pH=7.0	2
6642_Tm=58.7_pH=7.0	2
6635_Tm=53.5_pH=7.0	2
6632_Tm=55.9_pH=7.0	2
6599_Tm=52.4_pH=7.0	2
6568_Tm=55.6_pH=7.0	2
6565_Tm=52.4_pH=7.0	2
6472_Tm=40.8_pH=7.0	2
6466_Tm=48.3_pH=7.0	2
6446_Tm=49.4_pH=7.0	2
6410_Tm=49.1_pH=7.0	2
6395_Tm=56.0_pH=7.0	2
6350_Tm=50.7_pH=7.0	2
635_Tm=50.1_pH=7.0	2
6344_Tm=57.3_pH=7.0	2
6251_Tm=43.9_pH=7.0	2
6228_Tm=45.5_pH=7.0	2
6213_Tm=46.5_pH=7.0	2
621_Tm=48.8_pH=7.0	2
6189_Tm=50.6_pH=7.0	2
6184_Tm=46.3_pH=7.0	2
6165_Tm=60.3_pH=7.0	2
6160_Tm=44.8_pH=7.0	2
6156_Tm=50.2_pH=7.0	2
6128_Tm=44.9_pH=7.0	2
6107_Tm=60.6_pH=7.0	2
6104_Tm=49.8_pH=7.0	2
6084_Tm=57.5_pH=7.0	2
6061_Tm=49.4_pH=7.0	2
6054_Tm=42.2_pH=7.0	2
6042_Tm=46.8_pH=7.0	2
6038_Tm=44.1_pH=7.0	2
6004_Tm=45.8_pH=7.0	2
5971_Tm=44.1_pH=7.0	2
5923_Tm=60.3_pH=7.0	2
592_Tm=44.6_pH=7.0	2
5892_Tm=46.5_pH=7.0	2
5891_Tm=49.6_pH=7.0	2
5864_Tm=44.9_pH=7.0	2
5856_Tm=52.0_pH=7.0	2
5838_Tm=43.9_pH=7.0	2
5785_Tm=48.1_pH=7.0	2
578_Tm=57.2_pH=7.0	2
5770_Tm=47.5_pH=7.0	2
5766_Tm=53.5_pH=7.0	2
5716_Tm=44.5_pH=7.0	2
5712_Tm=49.4_pH=7.0	2
5685_Tm=56.6_pH=7.0	2
5672_Tm=40.9_pH=7.0	2
5653_Tm=40.0_pH=7.0	2
5641_Tm=42.2_pH=7.0	2
5518_Tm=49.0_pH=7.0	2
5496_Tm=42.6_pH=7.0	2
5467_Tm=44.4_pH=7.0	2
5460_Tm=47.3_pH=7.0	2
5456_Tm=54.1_pH=7.0	2
5449_Tm=52.6_pH=7.0	2
5378_Tm=49.8_pH=7.0	2
5348_Tm=50.7_pH=7.0	2
5346_Tm=61.3_pH=7.0	2
5319_Tm=50.5_pH=7.0	2
5302_Tm=48.6_pH=7.0	2
5299_Tm=51.4_pH=7.0	2
5119_Tm=44.6_pH=7.0	2
5107_Tm=55.8_pH=7.0	2
5087_Tm=46.9_pH=7.0	2
5061_Tm=61.4_pH=7.0	2
5_Tm=48.4_pH=7.0	2
4988_Tm=42.4_pH=7.0	2
4983_Tm=49.1_pH=7.0	2
4971_Tm=47.8_pH=7.0	2
4922_Tm=49.5_pH=7.0	2
4870_Tm=43.4_pH=7.0	2
4841_Tm=42.2_pH=7.0	2
4746_Tm=43.4_pH=7.0	2
4727_Tm=48.2_pH=7.0	2
4724_Tm=44.7_pH=7.0	2
4713_Tm=60.3_pH=7.0	2
4709_Tm=50.9_pH=7.0	2
4683_Tm=39.8_pH=7.0	2
4676_Tm=38.5_pH=7.0	2
4671_Tm=52.4_pH=7.0	2
4604_Tm=43.4_pH=7.0	2
4553_Tm=43.2_pH=7.0	2
4532_Tm=55.1_pH=7.0	2
4504_Tm=56.2_pH=7.0	2
4502_Tm=47.7_pH=7.0	2
4469_Tm=57.1_pH=7.0	2
4446_Tm=53.1_pH=7.0	2
4352_Tm=49.2_pH=7.0	2
434_Tm=47.4_pH=7.0	2
433_Tm=48.9_pH=7.0	2
4313_Tm=45.1_pH=7.0	2
430_Tm=51.8_pH=7.0	2
4296_Tm=48.0_pH=7.0	2
426_Tm=66.5_pH=7.0	2
4257_Tm=36.6_pH=7.0	2
4255_Tm=25.0_pH=7.2	2
4223_Tm=54.5_pH=7.0	2
4210_Tm=46.3_pH=7.0	2
4207_Tm=47.9_pH=7.0	2
4205_Tm=45.6_pH=7.0	2
4199_Tm=46.4_pH=7.0	2
4188_Tm=49.4_pH=7.0	2
4181_Tm=56.1_pH=7.0	2
4170_Tm=48.0_pH=7.0	2
416_Tm=77.7_pH=7.0	2
4152_Tm=62.3_pH=7.0	2
4133_Tm=37.8_pH=7.0	2
4128_Tm=52.7_pH=7.0	2
4114_Tm=48.6_pH=7.0	2
4111_Tm=44.4_pH=7.0	2
4103_Tm=47.2_pH=7.0	2
406_Tm=53.8_pH=7.0	2
4043_Tm=49.4_pH=7.0	2
3989_Tm=53.8_pH=7.0	2
3981_Tm=51.7_pH=7.0	2
3969_Tm=46.4_pH=7.0	2
3943_Tm=47.2_pH=7.0	2
3922_Tm=37.7_pH=7.0	2
3917_Tm=48.3_pH=7.0	2
3890_Tm=46.9_pH=7.0	2
3876_Tm=42.2_pH=7.0	2
3868_Tm=51.9_pH=7.0	2
3865_Tm=50.2_pH=7.0	2
3848_Tm=45.4_pH=7.0	2
3818_Tm=53.8_pH=7.0	2
3803_Tm=45.6_pH=7.0	2
3771_Tm=35.6_pH=7.0	2
3747_Tm=52.6_pH=7.0	2
3745_Tm=49.1_pH=7.0	2
3740_Tm=52.0_pH=7.0	2
3724_Tm=43.6_pH=7.0	2
3717_Tm=55.3_pH=7.0	2
3713_Tm=44.4_pH=7.0	2
3608_Tm=56.6_pH=7.0	2
360_Tm=44.0_pH=7.0	2
3595_Tm=41.3_pH=7.0	2
3568_Tm=51.0_pH=7.0	2
3553_Tm=47.4_pH=7.0	2
3539_Tm=60.9_pH=7.0	2
3530_Tm=52.1_pH=7.0	2
3527_Tm=40.3_pH=7.0	2
3486_Tm=56.0_pH=7.0	2
3472_Tm=57.8_pH=7.0	2
3462_Tm=53.3_pH=7.0	2
3450_Tm=53.1_pH=7.0	2
3446_Tm=46.2_pH=7.0	2
3417_Tm=52.4_pH=7.0	2
3411_Tm=45.4_pH=7.0	2
3387_Tm=47.6_pH=7.0	2
3362_Tm=57.9_pH=7.0	2
3298_Tm=46.8_pH=7.0	2
3294_Tm=45.5_pH=7.0	2
3247_Tm=57.7_pH=7.0	2
3227_Tm=47.7_pH=7.0	2
3217_Tm=50.2_pH=7.0	2
3208_Tm=54.7_pH=7.0	2
3202_Tm=46.7_pH=7.0	2
3195_Tm=42.8_pH=7.0	2
3191_Tm=48.4_pH=7.0	2
3176_Tm=48.8_pH=7.0	2
31271_Tm=51.3_pH=7.0	2
31237_Tm=57.8_pH=7.0	2
31224_Tm=47.4_pH=7.0	2
312_Tm=33.9_pH=7.0	2
31167_Tm=42.9_pH=7.0	2
31160_Tm=41.9_pH=7.0	2
31138_Tm=47.2_pH=7.0	2
31079_Tm=52.2_pH=7.0	2
31048_Tm=48.3_pH=7.0	2
31037_Tm=53.6_pH=7.0	2
31_Tm=40.8_pH=7.0	2
30980_Tm=44.9_pH=7.0	2
3088_Tm=43.8_pH=7.0	2
3081_Tm=46.9_pH=7.0	2
308_Tm=50.4_pH=7.0	2
30796_Tm=48.4_pH=7.0	2
30782_Tm=55.4_pH=7.0	2
30768_Tm=55.2_pH=7.0	2
30704_Tm=50.1_pH=7.0	2
30657_Tm=48.9_pH=7.0	2
3062_Tm=51.3_pH=7.0	2
306_Tm=53.3_pH=7.0	2
3055_Tm=48.0_pH=7.0	2
30528_Tm=54.8_pH=7.0	2
30502_Tm=53.5_pH=7.0	2
30464_Tm=48.6_pH=7.0	2
30438_Tm=52.6_pH=7.0	2
3043_Tm=48.8_pH=7.0	2
30401_Tm=42.0_pH=7.0	2
3029_Tm=54.5_pH=7.0	2
30282_Tm=43.0_pH=7.0	2
30271_Tm=50.0_pH=7.0	2
30144_Tm=58.4_pH=7.0	2
30071_Tm=43.5_pH=7.0	2
3005_Tm=41.4_pH=7.0	2
2996_Tm=49.4_pH=7.0	2
2994_Tm=47.8_pH=7.0	2
2992_Tm=44.9_pH=7.0	2
29874_Tm=50.7_pH=7.0	2
29765_Tm=51.0_pH=7.0	2
29739_Tm=56.0_pH=7.0	2
29662_Tm=45.9_pH=7.0	2
2962_Tm=50.3_pH=7.0	2
29610_Tm=44.6_pH=7.0	2
29591_Tm=54.0_pH=7.0	2
29585_Tm=52.0_pH=7.0	2
29444_Tm=57.3_pH=7.0	2
29431_Tm=46.6_pH=7.0	2
29388_Tm=80.5_pH=7.0	2
29354_Tm=53.2_pH=7.0	2
29347_Tm=46.8_pH=7.0	2
29339_Tm=51.4_pH=7.0	2
293_Tm=58.2_pH=7.0	2
2925_Tm=60.5_pH=7.0	2
29210_Tm=56.3_pH=7.0	2
29195_Tm=49.7_pH=7.0	2
29124_Tm=51.4_pH=7.0	2
29114_Tm=46.7_pH=7.0	2
29084_Tm=55.8_pH=7.0	2
29073_Tm=57.0_pH=7.0	2
2897_Tm=55.5_pH=7.0	2
28889_Tm=48.9_pH=7.0	2
28883_Tm=57.5_pH=7.0	2
28879_Tm=60.7_pH=7.0	2
28877_Tm=49.9_pH=7.0	2
2877_Tm=46.0_pH=7.0	2
2874_Tm=58.7_pH=7.0	2
28720_Tm=50.0_pH=7.0	2
28701_Tm=49.9_pH=7.0	2
28652_Tm=55.6_pH=7.0	2
28605_Tm=53.9_pH=7.0	2
28593_Tm=39.7_pH=7.0	2
2858_Tm=52.5_pH=7.0	2
28530_Tm=47.6_pH=7.0	2
28526_Tm=37.2_pH=7.0	2
28463_Tm=103.5_pH=7.0	2
28460_Tm=47.3_pH=7.0	2
28458_Tm=49.7_pH=7.0	2
28446_Tm=46.1_pH=7.0	2
28429_Tm=63.8_pH=7.0	2
2841_Tm=54.6_pH=7.0	2
28409_Tm=47.2_pH=7.0	2
2838_Tm=49.5_pH=7.0	2
28304_Tm=51.2_pH=7.0	2
28301_Tm=37.6_pH=7.0	2
28299_Tm=51.6_pH=7.0	2
28287_Tm=49.1_pH=7.0	2
28276_Tm=49.7_pH=7.0	2
28237_Tm=42.8_pH=7.0	2
28141_Tm=49.5_pH=7.0	2
28108_Tm=47.0_pH=	2
28104_Tm=48.7_pH=7.0	2
28097_Tm=57.4_pH=7.0	2
28066_Tm=48.5_pH=7.0	2
2774_Tm=45.1_pH=7.0	2
27692_Tm=50.9_pH=7.0	2
27641_Tm=50.9_pH=7.0	2
27478_Tm=47.1_pH=7.0	2
27458_Tm=42.0_pH=	2
27406_Tm=44.5_pH=7.0	2
27320_Tm=46.3_pH=7.0	2
2727_Tm=50.2_pH=7.0	2
2723_Tm=53.7_pH=7.0	2
27161_Tm=57.3_pH=7.0	2
27108_Tm=81.9_pH=7.0	2
27099_Tm=49.5_pH=7.0	2
27062_Tm=47.1_pH=7.0	2
26860_Tm=51.2_pH=7.0	2
26849_Tm=52.7_pH=7.0	2
26847_Tm=50.3_pH=7.0	2
2677_Tm=49.8_pH=7.0	2
26727_Tm=40.3_pH=7.0	2
26719_Tm=48.5_pH=7.0	2
26698_Tm=48.5_pH=7.0	2
26600_Tm=47.3_pH=7.0	2
26583_Tm=52.5_pH=7.0	2
26580_Tm=56.5_pH=7.0	2
26571_Tm=20.0_pH=7.8	2
26520_Tm=50.5_pH=7.0	2
26498_Tm=50.3_pH=7.0	2
26479_Tm=51.6_pH=7.0	2
26467_Tm=39.8_pH=7.0	2
26466_Tm=53.2_pH=7.0	2
26375_Tm=42.8_pH=7.0	2
26356_Tm=50.0_pH=7.0	2
2625_Tm=54.8_pH=7.0	2
2621_Tm=46.0_pH=7.0	2
2619_Tm=61.1_pH=7.0	2
26168_Tm=47.8_pH=7.0	2
26129_Tm=50.4_pH=7.0	2
26126_Tm=41.7_pH=7.0	2
26120_Tm=41.7_pH=7.0	2
2612_Tm=40.4_pH=7.0	2
26063_Tm=47.6_pH=7.0	2
25909_Tm=45.8_pH=7.0	2
25903_Tm=46.0_pH=7.0	2
25875_Tm=50.2_pH=7.0	2
25871_Tm=51.7_pH=7.0	2
25855_Tm=49.3_pH=7.0	2
25852_Tm=45.5_pH=7.0	2
25849_Tm=51.6_pH=7.0	2
25819_Tm=47.5_pH=7.0	2
25749_Tm=55.0_pH=7.0	2
25703_Tm=60.8_pH=7.0	2
25669_Tm=50.4_pH=7.0	2
25651_Tm=46.1_pH=7.0	2
25575_Tm=50.9_pH=7.0	2
25433_Tm=49.7_pH=7.0	2
25410_Tm=50.6_pH=7.0	2
25407_Tm=42.1_pH=7.0	2
25374_Tm=57.7_pH=7.0	2
25363_Tm=64.1_pH=7.0	2
25361_Tm=42.3_pH=7.0	2
25357_Tm=47.2_pH=7.0	2
25348_Tm=68.2_pH=7.0	2
25344_Tm=43.0_pH=7.0	2
25312_Tm=42.9_pH=7.0	2
25214_Tm=46.6_pH=7.0	2
2519_Tm=47.5_pH=7.0	2
24981_Tm=47.0_pH=7.0	2
24973_Tm=51.9_pH=7.0	2
24968_Tm=45.5_pH=7.0	2
24953_Tm=46.0_pH=7.0	2
24923_Tm=46.9_pH=7.0	2
24862_Tm=54.9_pH=7.0	2
24823_Tm=84.4_pH=7.0	2
24787_Tm=58.4_pH=7.0	2
2477_Tm=61.4_pH=7.0	2
24766_Tm=35.7_pH=7.0	2
24759_Tm=54.0_pH=7.0	2
24723_Tm=45.6_pH=7.0	2
24648_Tm=60.4_pH=7.0	2
24630_Tm=51.6_pH=7.0	2
24564_Tm=47.4_pH=7.0	2
24547_Tm=76.7_pH=7.0	2
24492_Tm=41.2_pH=7.0	2
2443_Tm=62.8_pH=7.0	2
24280_Tm=47.4_pH=7.0	2
2428_Tm=56.1_pH=7.0	2
24262_Tm=49.4_pH=7.0	2
24246_Tm=51.5_pH=7.0	2
24233_Tm=49.8_pH=7.0	2
24226_Tm=47.1_pH=7.0	2
24200_Tm=53.6_pH=7.4	2
2420_Tm=47.8_pH=7.0	2
2417_Tm=51.4_pH=7.0	2
24151_Tm=45.5_pH=7.0	2
2410_Tm=48.6_pH=7.0	2
2406_Tm=53.8_pH=7.0	2
23996_Tm=42.7_pH=7.0	2
23897_Tm=38.4_pH=7.0	2
23892_Tm=46.5_pH=7.0	2
23870_Tm=50.1_pH=7.0	2
23847_Tm=49.5_pH=7.0	2
23826_Tm=46.8_pH=7.0	2
23822_Tm=47.4_pH=7.0	2
23804_Tm=51.4_pH=7.0	2
23725_Tm=52.7_pH=7.0	2
23717_Tm=44.3_pH=7.0	2
23712_Tm=43.9_pH=7.0	2
23667_Tm=49.9_pH=7.0	2
236_Tm=42.5_pH=7.0	2
23421_Tm=50.0_pH=7.0	2
23417_Tm=52.0_pH=7.0	2
23367_Tm=53.5_pH=7.0	2
2331_Tm=49.2_pH=7.0	2
23262_Tm=53.2_pH=7.0	2
23228_Tm=57.2_pH=7.0	2
2322_Tm=48.8_pH=7.0	2
23144_Tm=51.3_pH=7.0	2
23118_Tm=56.3_pH=7.0	2
23006_Tm=45.3_pH=7.0	2
22943_Tm=47.7_pH=7.0	2
22899_Tm=44.5_pH=7.0	2
22880_Tm=59.8_pH=7.0	2
22850_Tm=44.9_pH=7.0	2
22837_Tm=45.3_pH=7.0	2
22818_Tm=53.8_pH=7.0	2
22811_Tm=42.5_pH=7.0	2
22779_Tm=49.6_pH=7.0	2
22741_Tm=51.7_pH=7.0	2
22707_Tm=42.3_pH=7.0	2
22705_Tm=50.5_pH=7.0	2
22675_Tm=45.0_pH=7.0	2
22669_Tm=49.6_pH=7.0	2
22666_Tm=48.1_pH=7.0	2
22656_Tm=53.4_pH=7.0	2
22640_Tm=49.1_pH=7.0	2
2255_Tm=40.2_pH=7.0	2
22465_Tm=48.6_pH=7.0	2
22385_Tm=49.7_pH=7.0	2
22329_Tm=89.7_pH=7.5	2
22320_Tm=49.2_pH=7.0	2
22286_Tm=48.6_pH=7.0	2
22256_Tm=41.8_pH=7.0	2
22201_Tm=49.5_pH=7.0	2
22042_Tm=52.6_pH=7.0	2
21995_Tm=54.8_pH=7.0	2
21992_Tm=46.3_pH=7.0	2
21951_Tm=49.2_pH=7.0	2
21943_Tm=73.0_pH=7.6	2
21934_Tm=47.6_pH=7.0	2
2193_Tm=63.1_pH=7.0	2
