,tm,ph,sasa,charge,volume,helix,sheet,coil,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
5257.pdb,0.10884155237817347,7.0,0.3524495037351844,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,1.6625795765477778,1.6921288267375942,1.660805560956615,-1.3418472015916187,1.3743050950325535,-0.44532495307879755,1.7224201674390933,1.2625652234267866,1.758401533240692
5165.pdb,0.13929029065858106,8.290999999999999,1.5894910541457332,-3.0822070014844907,-0.6959877119090877,0.9746794344808964,0.5627314338711377,1.2358711675707919,-1.0996894064992622,-0.6022204431535798,-1.580435541898593,0.7708896353366532,-0.683053857802357,0.5062682541213492,-0.7308280566667984,-0.9610879888243758,-0.7978497353892289
5261.pdb,0.1443650803719824,7.1,1.053995145426906,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,-0.6937312895453496,-0.5508581620943575,-0.0665069823285909,0.606018411605978,-0.5900173927039851,-0.025114098093182827,-0.6302134238845405,-0.6943307668092107,-0.6083843219706823
5258.pdb,0.159589449512186,7.1,1.053995145426906,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,-0.7297771442744123,-0.5583631860447044,-0.08355109965496262,0.43541657699880026,-0.22443729760573453,-0.5327827649888239,-0.6218751490285294,-1.1736758191736032,-0.6125066449572588
5255.pdb,0.159589449512186,7.1,0.3524495037351844,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,1.3771458631475804,1.7057676668807904,1.5404500426509358,-1.6765636644123965,1.5393933243837645,-0.18197251199151515,1.5773119655588572,1.5196279216533668,1.69444548227609
5222.pdb,0.159589449512186,7.1,-1.3658205290164804,0.0,-0.597544746836954,0.9746794344808964,-1.688194301613413,0.34709944452169594,-0.6446556667479975,-0.5654766435280768,-0.6599141346424133,0.8046537750954926,-0.8205916210128219,1.0393910603042384,-0.5038391667222104,0.41012349215621396,-0.5411625371736385
5218.pdb,0.1900381877925936,7.1,-1.3658205290164804,0.0,-0.597544746836954,0.9746794344808964,-1.688194301613413,0.34709944452169594,-0.45753107788406094,-0.583673607396092,-1.470921336994132,0.8833335136160991,-0.8834169830534166,0.32678393863435407,-0.6612665166324215,-0.9433222103466922,-0.7059651268501437
5219.pdb,0.21541213635959985,7.0,-1.3658205290164804,0.0,-0.597544746836954,0.9746794344808964,-1.688194301613413,0.34709944452169594,-0.8180371790727513,-0.6069935658736916,-1.0486873139028154,0.7707347539616127,-0.8893819593673779,0.723172329928053,-0.4910780330750924,-0.13177784222144823,-0.6674600023799091
5256.pdb,0.2204869260730012,7.1,0.3524495037351844,0.0,-0.030383631195099358,-0.9746794344808964,0.5627314338711377,0.34709944452169594,0.9602883927584409,1.6375451863644188,1.1845103163996142,-1.6337211528555533,1.564524756604961,-0.7419635763109353,1.6239138240663233,1.3715046163254747,1.5426914408578924
5221.pdb,0.4465688078050269,7.1,-1.3658205290164804,0.0,-0.597544746836954,0.9746794344808964,-1.688194301613413,0.34709944452169594,-0.8022492849170142,-0.5851909274556186,-0.8301461776321732,1.1551967912247947,-1.1881787804434807,1.205386857536446,-0.5315563490037508,-0.11649205820130952,-0.6324859513842325
