tm,ph,sasa,charge,volume,helix,sheet,coil,n_phobic_contact,n_disulfide,n_saltbridge,n_hbond
61.1,5.4,0,8,24361,16501,4069,1131,2366,0,11,28
25.0,5.4,0,8,24361,16501,4069,1131,2366,0,11,28
32.8,2.4,0,8,24409,15820,4069,984,2366,0,11,28
40.2,2.0,0,8,24369,15820,4069,987,2366,0,11,28
63.1,6.5,0,8,24369,15820,4069,987,2366,0,11,28
41.3,3.0,0,8,24361,15820,4069,1209,2366,0,11,28
44.0,3.0,0,8,24361,15820,4069,1209,2366,0,11,28
63.0,6.5,0,8,24408,15820,4069,596,2434,0,11,27
52.0,4.2,0,8,24408,15820,4069,596,2434,0,11,27
59.0,6.5,0,8,24408,15820,4069,596,2434,0,11,27
30.9,2.0,0,8,24408,15820,4069,596,2434,0,11,27
37.9,2.0,0,7,24441,15820,4069,1244,2366,0,11,27
52.0,4.2,0,7,24441,15820,4069,1244,2366,0,11,27
63.0,6.5,0,7,24441,15820,4069,1244,2366,0,11,27
59.9,6.5,0,7,24441,15820,4069,1244,2366,0,11,27
33.7,2.0,0,8,24382,15820,4069,917,2366,0,11,27
63.0,6.5,0,8,24382,15820,4069,917,2366,0,11,27
58.9,6.5,0,8,24382,15820,4069,917,2366,0,11,27
52.0,4.2,0,8,24382,15820,4069,917,2366,0,11,27
63.0,6.5,0,8,24451,15820,4069,1061,2366,0,11,28
38.9,2.0,0,8,24451,15820,4069,1061,2366,0,11,28
52.0,4.2,0,8,24451,15820,4069,1061,2366,0,11,28
60.2,6.5,0,8,24451,15820,4069,1061,2366,0,11,28
63.0,6.5,0,8,24415,15820,4069,1178,2366,0,11,28
52.0,4.2,0,8,24415,15820,4069,1178,2366,0,11,28
38.4,2.0,0,8,24415,15820,4069,1178,2366,0,11,28
62.6,6.5,0,8,24415,15820,4069,1178,2366,0,11,28
45.8,4.2,0,7,24434,15460,4069,1131,2366,0,11,28
35.1,2.0,0,7,24434,15460,4069,1131,2366,0,11,28
63.0,6.5,0,7,24434,15460,4069,1131,2366,0,11,28
62.6,6.5,0,7,24434,15460,4069,1131,2366,0,11,28
38.3,3.0,0,8,24362,15879,4069,1131,2366,0,11,28
25.0,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
55.2,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
46.0,3.0,0,8,24327,16554,4069,1131,2366,0,11,28
44.0,3.0,0,8,24327,16554,4069,1131,2366,0,11,28
48.0,2.5,0,8,24395,17024,4069,1131,2434,0,11,28
50.9,4.2,0,8,24406,14512,4069,1131,2366,0,11,27
55.6,6.5,0,8,24406,14512,4069,1131,2366,0,11,27
63.0,6.5,0,8,24406,14512,4069,1131,2366,0,11,27
25.6,2.0,0,8,24406,14512,4069,1131,2366,0,11,27
44.0,3.0,0,8,24388,16817,4069,1131,2366,0,11,28
47.0,3.0,0,8,24388,16817,4069,1131,2366,0,11,28
25.0,3.0,0,8,24418,15601,4069,1131,2299,0,11,28
47.9,3.0,0,8,24418,15601,4069,1131,2299,0,11,28
40.5,2.0,0,8,24464,17695,4069,1131,2433,0,11,28
65.6,6.5,0,8,24464,17695,4069,1131,2433,0,11,28
47.0,4.8,0,8,24464,17695,4069,1131,2433,0,11,28
65.6,6.5,0,8,24464,17695,4069,1131,2433,0,11,28
40.5,2.0,0,8,24464,17695,4069,1131,2433,0,11,28
47.0,3.0,0,8,24361,16501,4069,1131,2366,0,11,28
61.8,5.4,0,8,24361,16501,4069,1131,2366,0,11,28
25.0,5.4,0,8,24361,16501,4069,1131,2366,0,11,28
31.3,2.4,0,8,24376,15012,4069,1131,2298,0,11,28
61.9,6.78,0,8,24384,15765,4069,1131,2366,0,11,28
65.0,6.8,0,8,24384,15765,4069,1131,2366,0,11,28
64.7,5.4,0,8,24384,15765,4069,1131,2366,0,11,28
36.3,2.0,0,7,24434,15820,4069,1266,2366,0,11,28
62.0,6.5,0,7,24434,15820,4069,1266,2366,0,11,28
63.0,6.5,0,7,24434,15820,4069,1266,2366,0,11,28
38.3,3.0,0,8,24362,15820,4069,1296,2366,0,11,28
54.8,5.4,0,8,24362,15820,4069,1296,2366,0,11,28
25.0,5.4,0,8,24362,15820,4069,1296,2366,0,11,28
40.0,2.0,0,8,24401,17540,4069,1131,2433,0,11,28
12.0,2.0,0,8,24401,17540,4069,1131,2433,0,11,28
40.6,2.0,0,8,24401,17540,4069,1131,2433,0,11,28
41.0,2.0,0,8,24415,16673,4069,1131,2366,0,11,28
65.0,6.0,0,7,24434,16411,4069,1131,2366,0,11,28
40.0,2.0,0,8,24375,15665,4069,1131,2366,0,11,28
62.0,4.0,0,8,24375,15665,4069,1131,2366,0,11,28
62.0,6.0,0,8,24476,16597,4069,1131,2366,0,11,28
40.0,2.0,0,8,24476,16597,4069,1131,2366,0,11,28
40.0,2.0,0,8,24478,16859,4069,1131,2433,0,11,28
40.0,2.0,0,8,24477,17481,4069,1131,2433,0,11,28
48.3,4.5,0,8,24388,16817,4069,1131,2366,0,11,28
46.8,3.0,0,8,24388,16817,4069,1131,2366,0,11,28
61.0,5.4,0,8,24388,16817,4069,1131,2366,0,11,28
25.0,5.4,0,8,24388,16817,4069,1131,2366,0,11,28
25.0,5.4,0,8,24465,16136,4069,1131,2366,0,11,28
64.7,5.35,0,8,24465,16136,4069,1131,2366,0,11,28
59.0,5.4,0,8,24467,16257,4069,1131,2366,0,11,28
25.0,5.4,0,8,24467,16257,4069,1131,2366,0,11,28
47.0,3.0,0,8,24418,15601,4069,1131,2298,0,11,28
25.0,3.0,0,8,24418,15601,4069,1131,2298,0,11,28
62.7,5.5,0,8,24506,16075,4069,1131,2366,0,11,28
60.1,6.5,0,8,24506,16075,4069,1131,2366,0,11,28
63.0,6.5,0,8,24506,16075,4069,1131,2366,0,11,28
34.4,2.0,0,8,24506,16075,4069,1131,2366,0,11,28
57.9,5.4,0,8,24362,15820,4069,1296,2366,0,11,28
25.0,5.4,0,8,24362,15820,4069,1296,2366,0,11,28
42.0,3.0,0,8,24362,15820,4069,1296,2366,0,11,28
46.7,3.0,0,8,24388,16817,4069,1131,2366,0,11,28
44.0,3.0,0,8,24388,16817,4069,1131,2366,0,11,28
27.7,2.4,0,7,24319,15481,4069,1131,2366,0,11,27
59.4,5.2,0,7,24380,15405,4069,1131,2366,0,11,28
57.7,6.0,0,7,24380,15405,4069,1131,2366,0,11,28
45.0,3.0,0,7,24380,15405,4069,1131,2366,0,11,28
25.0,3.0,0,7,24380,15405,4069,1131,2366,0,11,28
37.6,3.0,0,7,24380,15405,4069,1131,2366,0,11,28
27.1,2.2,0,7,24380,15405,4069,1131,2366,0,11,28
41.2,2.84,0,7,24380,15405,4069,1131,2366,0,11,28
29.6,2.34,0,7,24380,15405,4069,1131,2366,0,11,28
58.0,6.5,0,7,24380,15405,4069,1131,2366,0,11,28
23.1,2.0,0,7,24380,15405,4069,1131,2366,0,11,28
43.2,3.0,0,7,24380,15405,4069,1131,2366,0,11,28
30.9,2.4,0,7,24380,15405,4069,1131,2366,0,11,28
33.4,2.5,0,7,24380,15405,4069,1131,2366,0,11,28
37.5,2.7,0,7,24380,15405,4069,1131,2366,0,11,28
51.0,4.2,0,8,24384,15765,4069,1131,2366,0,11,28
53.6,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
36.1,3.0,0,8,24362,15879,4069,1131,2366,0,11,28
53.5,5.7,0,8,24362,15879,4069,1131,2366,0,11,28
36.1,3.01,0,8,24362,15879,4069,1131,2366,0,11,28
36.1,3.01,0,8,24362,15879,4069,1131,2366,0,11,28
25.0,5.7,0,8,24362,15879,4069,1131,2366,0,11,28
53.7,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
64.2,5.7,0,8,24473,15145,4069,1131,2366,0,11,28
25.0,5.7,0,8,24473,15145,4069,1131,2366,0,11,28
50.7,3.01,0,8,24473,15145,4069,1131,2366,0,11,28
22.5,3.0,0,8,24336,14004,4069,1131,2299,0,11,28
58.5,4.2,0,8,24336,14004,4069,1131,2299,0,11,28
44.9,5.4,0,8,24336,14004,4069,1131,2299,0,11,28
61.2,5.7,0,8,24439,15198,4069,1131,2366,0,11,28
65.0,5.7,0,8,24439,15198,4069,1131,2366,0,11,28
47.8,3.01,0,8,24439,15198,4069,1131,2366,0,11,28
58.2,5.4,0,8,24361,16501,4069,1131,2366,0,11,28
41.0,3.0,0,8,24361,16501,4069,1131,2366,0,11,28
25.0,5.4,0,8,24361,16501,4069,1131,2366,0,11,28
61.6,5.4,0,8,24395,17024,4069,1131,2432,0,11,25
65.0,5.4,0,8,24395,17024,4069,1131,2432,0,11,25
25.0,5.4,0,8,24359,16380,4069,1131,2366,0,11,28
57.1,5.4,0,8,24359,16380,4069,1131,2366,0,11,28
16.6,3.0,0,9,24438,15797,4069,1131,2300,0,11,28
37.8,10.4,0,9,24438,15797,4069,1131,2300,0,11,28
45.0,5.3,0,9,24438,15797,4069,1131,2300,0,11,28
54.9,6.2,0,9,24438,15797,4069,1131,2300,0,11,28
63.2,5.35,0,8,24435,16321,4069,1131,2366,0,11,28
25.0,5.4,0,8,24435,16321,4069,1131,2366,0,11,28
59.2,4.7,0,8,24435,16321,4069,1131,2366,0,11,28
49.2,3.01,0,8,24435,16321,4069,1131,2366,0,11,28
62.6,5.7,0,8,24435,16321,4069,1131,2366,0,11,28
60.9,5.4,0,8,24388,16817,4069,1131,2366,0,11,28
36.8,5.0,0,8,24388,16817,4069,1131,2366,0,11,28
45.1,3.0,0,8,24388,16817,4069,1131,2366,0,11,28
25.0,5.4,0,8,24388,16817,4069,1131,2366,0,11,28
64.0,5.35,0,8,24465,16136,4069,1131,2366,0,11,28
25.0,5.4,0,8,24465,16136,4069,1131,2366,0,11,28
25.0,5.4,0,8,24467,16257,4069,1131,2366,0,11,28
62.2,5.42,0,8,24467,16257,4069,1131,2366,0,11,28
42.0,3.0,0,8,24327,16554,4069,1131,2366,0,11,28
25.0,5.4,0,8,24327,16554,4069,1131,2366,0,11,28
57.8,5.4,0,8,24327,16554,4069,1131,2366,0,11,28
54.1,4.0,0,8,24369,16232,4069,1131,2433,0,11,25
38.5,2.1,0,8,24369,16232,4069,1131,2433,0,11,25
64.7,5.8,0,8,24369,16232,4069,1131,2433,0,11,25
54.1,4.0,0,7,24432,16049,4069,1131,2366,0,12,27
39.9,2.1,0,7,24432,16049,4069,1131,2366,0,12,27
63.3,5.8,0,7,24432,16049,4069,1131,2366,0,12,27
34.8,2.1,0,8,24343,14357,4069,1131,2366,0,11,25
62.4,5.8,0,8,24343,14357,4069,1131,2366,0,11,25
41.7,5.9,0,8,24343,14357,4069,1131,2366,0,11,25
43.4,5.0,0,8,24343,14357,4069,1131,2366,0,11,25
62.6,5.4,0,8,24448,15672,4069,1131,2433,0,11,25
65.0,5.4,0,8,24448,15672,4069,1131,2433,0,11,25
44.6,3.0,0,8,24359,16380,4069,1131,2366,0,11,28
60.1,5.4,0,8,24359,16380,4069,1131,2366,0,11,28
25.0,5.4,0,8,24359,16380,4069,1131,2366,0,11,28
25.0,5.4,0,8,24436,15699,4069,1131,2366,0,11,28
66.1,5.35,0,8,24436,15699,4069,1131,2366,0,11,28
41.2,3.0,0,9,24438,15797,4069,1131,2298,0,11,28
25.0,3.0,0,9,24438,15797,4069,1131,2298,0,11,28
53.4,3.0,0,8,24435,16321,4069,1131,2366,0,11,28
25.0,3.0,0,8,24435,16321,4069,1131,2366,0,11,28
62.0,6.7,0,7,24441,15907,4069,1131,2366,0,11,28
63.9,6.7,0,7,24441,15907,4069,1131,2366,0,11,28
51.0,4.3,0,7,24441,15907,4069,1131,2366,0,11,28
38.7,2.0,0,7,24441,15907,4069,1131,2366,0,11,28
39.4,2.0,0,8,24451,15832,4069,1131,2366,0,11,28
39.5,2.0,0,8,24451,15832,4069,1131,2366,0,11,28
62.0,6.7,0,8,24451,15832,4069,1131,2366,0,11,28
62.7,6.7,0,8,24451,15832,4069,1131,2366,0,11,28
48.0,3.0,0,8,24388,16817,4069,1131,2366,0,11,28
62.6,5.35,0,8,24388,16817,4069,1131,2366,0,11,28
62.4,5.4,0,8,24388,16817,4069,1131,2366,0,11,28
25.0,5.4,0,8,24388,16817,4069,1131,2366,0,11,28
56.3,4.2,0,8,24388,16817,4069,1131,2366,0,11,28
47.0,3.01,0,8,24499,16083,4069,1131,2366,0,11,28
65.0,5.7,0,8,24499,16083,4069,1131,2366,0,11,28
60.3,5.7,0,8,24499,16083,4069,1131,2366,0,11,28
58.3,4.4,0,8,24499,16083,4069,1131,2366,0,11,28
62.3,5.7,0,8,24465,16136,4069,1131,2366,0,11,28
65.0,5.7,0,8,24465,16136,4069,1131,2366,0,11,28
49.4,3.01,0,8,24465,16136,4069,1131,2366,0,11,28
25.0,5.4,0,8,24467,16257,4069,1131,2366,0,11,28
63.3,5.4,0,8,24467,16257,4069,1131,2366,0,11,28
42.3,2.0,0,8,24464,15820,4069,810,2433,0,11,28
49.0,3.2,0,8,24464,15820,4069,810,2433,0,11,28
65.3,6.5,0,8,24464,15820,4069,810,2433,0,11,28
65.0,6.8,0,7,24527,15820,4069,700,2366,0,11,28
65.9,5.4,0,7,24527,15820,4069,700,2366,0,11,28
63.2,6.78,0,7,24527,15820,4069,700,2366,0,11,28
52.0,3.0,0,8,24408,17036,4069,1131,2435,0,11,28
51.2,3.01,0,8,24408,17036,4069,1131,2435,0,11,28
66.8,6.5,0,7,24471,16853,4069,1131,2366,0,11,28
63.3,4.0,0,7,24471,16853,4069,1131,2366,0,11,28
66.8,5.5,0,7,24471,16853,4069,1131,2366,0,11,28
65.3,6.5,0,7,24471,16853,4069,1131,2366,0,11,28
52.0,3.0,0,7,24471,16853,4069,1131,2366,0,11,28
38.7,2.0,0,7,24471,16853,4069,1131,2366,0,11,28
39.2,2.0,0,7,24471,16853,4069,1131,2366,0,11,28
66.7,5.5,0,7,24471,16853,4069,1131,2366,0,11,28
52.1,3.01,0,8,24395,17024,4069,1131,2434,0,11,27
52.0,3.0,0,8,24395,17024,4069,1131,2434,0,11,27
40.7,2.0,0,7,24428,15895,4069,1131,2366,0,12,27
56.7,4.0,0,7,24428,15895,4069,1131,2366,0,12,27
54.3,3.0,0,7,24428,15895,4069,1131,2366,0,12,27
67.7,5.7,0,7,24428,15895,4069,1131,2366,0,12,27
67.9,5.4,0,7,24428,15895,4069,1131,2366,0,12,27
52.0,3.0,0,8,24431,17018,4069,1131,2435,0,11,27
55.3,3.01,0,8,24431,17018,4069,1131,2435,0,11,27
68.3,5.4,0,8,24542,16284,4069,1131,2435,0,11,27
61.1,4.6,0,8,24542,16284,4069,1131,2435,0,11,27
65.0,5.4,0,8,24542,16284,4069,1131,2435,0,11,27
56.5,3.0,0,8,24542,16284,4069,1131,2435,0,11,27
67.9,5.4,0,8,24542,16284,4069,1131,2435,0,11,27
70.7,5.4,0,8,24508,16337,4069,1131,2435,0,11,27
25.0,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
39.6,3.01,0,8,24362,15879,4069,1131,2366,0,11,28
56.3,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
39.6,3.01,0,8,24362,15879,4069,1131,2366,0,11,28
62.4,5.35,0,8,24439,15198,4069,1131,2366,0,11,28
25.0,5.4,0,8,24439,15198,4069,1131,2366,0,11,28
51.1,3.01,0,7,24305,16348,4069,1131,2433,0,11,26
52.0,3.0,0,7,24305,16348,4069,1131,2433,0,11,26
33.4,2.4,0,7,24319,15481,4069,1131,2366,0,11,26
50.3,2.8,0,6,24368,16165,4069,1131,2366,0,11,28
47.5,4.5,0,6,24368,16165,4069,1131,2366,0,11,28
66.6,5.3,0,6,24368,16165,4069,1131,2366,0,11,28
65.0,6.8,0,7,24380,15405,4069,1131,2366,0,11,28
61.4,6.78,0,7,24380,15405,4069,1131,2366,0,11,28
64.4,5.4,0,7,24380,15405,4069,1131,2366,0,11,28
66.4,5.7,0,7,24384,15788,4069,1131,2433,0,11,26
40.0,2.0,0,7,24384,15788,4069,1131,2433,0,11,26
53.5,3.9,0,7,24384,15788,4069,1131,2433,0,11,26
51.1,3.01,0,8,24359,16380,4069,1131,2366,0,11,28
52.0,3.0,0,8,24359,16380,4069,1131,2366,0,11,28
25.0,3.0,0,9,24438,15797,4069,1131,2299,0,11,29
46.9,3.0,0,9,24438,15797,4069,1131,2299,0,11,29
25.0,3.0,0,8,24435,16321,4069,1131,2366,0,11,28
53.4,3.0,0,8,24435,16321,4069,1131,2366,0,11,28
42.5,3.01,0,8,24362,15879,4069,1131,2366,0,11,28
59.2,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
42.5,3.01,0,8,24362,15879,4069,1131,2366,0,11,28
59.1,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
25.0,5.4,0,8,24362,15879,4069,1131,2366,0,11,28
48.4,4.4,0,8,24362,15879,4069,1131,2366,0,11,28
52.0,3.0,0,8,24369,16232,4069,1131,2434,0,11,27
50.9,3.01,0,8,24369,16232,4069,1131,2434,0,11,27
51.0,3.01,0,8,24369,15820,4069,1042,2435,0,11,27
52.0,3.0,0,8,24369,15820,4069,1042,2435,0,11,27
65.8,6.5,0,7,24432,15820,4069,932,2366,0,12,27
66.9,5.5,0,7,24432,15820,4069,932,2366,0,12,27
41.4,2.0,0,7,24432,15820,4069,932,2366,0,12,27
64.5,6.5,0,7,24333,15820,4069,1305,2366,0,11,28
41.9,2.0,0,7,24333,15820,4069,1305,2366,0,11,28
41.4,2.02,0,9,24375,16003,4069,1131,2433,0,10,28
41.4,2.0,0,9,24375,16003,4069,1131,2433,0,10,28
41.8,2.0,0,8,24388,16817,4069,1131,2366,0,11,28
41.2,2.02,0,8,24388,16817,4069,1131,2366,0,11,28
67.4,5.4,0,8,24388,16817,4069,1131,2366,0,11,28
