Cluster Name	Count of Member
20195_Tm=40.4	6
22880_Tm=59.8	6
20478_Tm=50.9	6
19286_Tm=50.1	6
18244_Tm=79.2	6
21487_Tm=40.3	6
25343_Tm=55.3	6
22942_Tm=47.4	6
20870_Tm=32.4	6
21753_Tm=48.8	6
22339_Tm=48.8	6
15222_Tm=45.6	6
11342_Tm=35.7	6
15903_Tm=48.2	6
11830_Tm=42.1	6
10135_Tm=44.1	6
11418_Tm=39.9	6
15892_Tm=63.1	6
11442_Tm=39.8	6
15955_Tm=42.5	6
14295_Tm=43.9	6
16154_Tm=42.4	6
14346_Tm=66.1	6
12479_Tm=42.0	6
14803_Tm=47.0	6
7760_Tm=43.0	5
6967_Tm=49.7	5
6641_Tm=49.5	5
5729_Tm=43.6	5
4813_Tm=38.5	5
3890_Tm=46.9	5
9133_Tm=43.7	5
5830_Tm=30.0	5
9255_Tm=41.8	5
4948_Tm=53.8	5
7204_Tm=43.3	5
4958_Tm=46.5	5
7474_Tm=47.8	5
6061_Tm=49.4	5
8191_Tm=55.8	5
3981_Tm=51.7	5
6604_Tm=42.3	5
3989_Tm=53.8	5
5365_Tm=42.7	5
9767_Tm=47.7	5
687_Tm=51.3	5
6276_Tm=39.1	5
7108_Tm=42.8	5
5299_Tm=51.4	5
7262_Tm=48.5	5
6366_Tm=39.8	5
5432_Tm=45.5	5
4186_Tm=47.4	5
7745_Tm=54.0	5
6470_Tm=45.6	5
3847_Tm=44.5	5
4720_Tm=43.2	5
8730_Tm=41.6	5
6568_Tm=55.6	5
4759_Tm=44.5	5
6755_Tm=60.9	5
26839_Tm=38.0	5
29678_Tm=25.0	5
3310_Tm=37.6	5
29769_Tm=52.4	5
26585_Tm=47.0	5
28431_Tm=49.7	5
27113_Tm=40.2	5
27198_Tm=22.0	5
27672_Tm=41.9	5
28304_Tm=51.2	5
3401_Tm=52.9	5
25665_Tm=54.6	5
31046_Tm=46.5	5
26454_Tm=48.6	5
26518_Tm=49.6	5
30300_Tm=45.1	5
26762_Tm=38.9	5
29238_Tm=45.4	5
2955_Tm=52.7	5
26793_Tm=37.7	5
3354_Tm=49.3	5
30738_Tm=25.0	5
3398_Tm=46.4	5
30753_Tm=45.3	5
25802_Tm=48.6	5
29431_Tm=46.6	5
25791_Tm=54.9	5
2702_Tm=54.8	5
28576_Tm=33.2	5
22776_Tm=34.7	5
23982_Tm=50.6	5
23412_Tm=53.4	5
19275_Tm=25.0	5
22700_Tm=58.0	5
19779_Tm=41.3	5
23017_Tm=50.9	5
1994_Tm=43.1	5
23869_Tm=43.5	5
20049_Tm=52.3	5
24532_Tm=50.3	5
20455_Tm=42.0	5
22708_Tm=37.9	5
20469_Tm=44.9	5
22929_Tm=50.4	5
20565_Tm=45.0	5
23062_Tm=50.6	5
20577_Tm=37.7	5
23706_Tm=56.1	5
20890_Tm=73.1	5
23892_Tm=46.5	5
2090_Tm=35.1	5
24065_Tm=53.0	5
2188_Tm=39.4	5
25078_Tm=42.7	5
25478_Tm=39.2	5
25212_Tm=45.8	5
12181_Tm=51.5	5
16350_Tm=56.5	5
14255_Tm=25.0	5
12440_Tm=45.5	5
11680_Tm=74.1	5
12465_Tm=44.0	5
15957_Tm=45.0	5
10512_Tm=43.3	5
12406_Tm=37.9	5
16409_Tm=37.0	5
17722_Tm=47.5	5
13661_Tm=41.0	5
1410_Tm=47.6	5
11751_Tm=47.4	5
10922_Tm=25.0	5
11556_Tm=71.3	5
11706_Tm=41.7	5
11201_Tm=51.2	5
10108_Tm=48.1	5
12156_Tm=46.1	5
13644_Tm=38.4	5
15261_Tm=36.3	5
11903_Tm=46.1	5
12858_Tm=43.7	5
1703_Tm=60.3	5
14810_Tm=93.0	5
12623_Tm=44.5	5
17695_Tm=47.2	5
8461_Tm=45.6	4
6328_Tm=42.8	4
5745_Tm=50.0	4
6437_Tm=42.3	4
3527_Tm=40.3	4
3823_Tm=45.8	4
4746_Tm=43.4	4
4223_Tm=54.5	4
6327_Tm=47.7	4
6054_Tm=42.2	4
7874_Tm=41.6	4
4257_Tm=36.6	4
6367_Tm=43.4	4
5848_Tm=40.1	4
8771_Tm=43.6	4
657_Tm=42.5	4
6287_Tm=45.9	4
4994_Tm=68.1	4
7346_Tm=51.5	4
4313_Tm=45.1	4
7608_Tm=44.6	4
4723_Tm=57.2	4
7842_Tm=25.0	4
4922_Tm=49.5	4
548_Tm=60.8	4
5891_Tm=49.6	4
3922_Tm=37.7	4
6671_Tm=51.7	4
5577_Tm=50.7	4
4317_Tm=47.3	4
4849_Tm=40.9	4
5005_Tm=42.2	4
3884_Tm=48.3	4
6716_Tm=38.5	4
5905_Tm=20.0	4
3808_Tm=54.1	4
7293_Tm=79.2	4
39_Tm=49.5	4
6316_Tm=54.0	4
4882_Tm=56.3	4
7468_Tm=52.4	4
9625_Tm=47.3	4
7556_Tm=45.6	4
6800_Tm=25.0	4
7730_Tm=43.5	4
6848_Tm=43.5	4
6347_Tm=42.3	4
4739_Tm=44.2	4
3735_Tm=43.0	4
4320_Tm=48.9	4
7881_Tm=46.9	4
3613_Tm=48.1	4
4494_Tm=37.6	4
3717_Tm=55.3	4
3788_Tm=41.3	4
6938_Tm=39.9	4
8114_Tm=89.7	4
6948_Tm=36.7	4
5558_Tm=51.2	4
6966_Tm=53.7	4
8424_Tm=75.3	4
6266_Tm=36.2	4
4558_Tm=33.1	4
6987_Tm=40.0	4
4045_Tm=45.0	4
3841_Tm=51.7	4
8785_Tm=45.7	4
7127_Tm=53.0	4
8855_Tm=52.4	4
7192_Tm=44.1	4
5977_Tm=42.4	4
7193_Tm=40.0	4
5650_Tm=50.5	4
6777_Tm=49.2	4
469_Tm=48.6	4
6781_Tm=41.0	4
5713_Tm=40.6	4
5375_Tm=72.4	4
9754_Tm=55.3	4
275_Tm=39.7	4
26851_Tm=43.2	4
29594_Tm=37.6	4
27508_Tm=42.0	4
31291_Tm=50.1	4
26110_Tm=44.9	4
29289_Tm=47.1	4
27732_Tm=45.6	4
29972_Tm=40.6	4
26165_Tm=53.9	4
30785_Tm=41.2	4
27987_Tm=40.0	4
27320_Tm=46.3	4
28076_Tm=38.8	4
29267_Tm=46.7	4
28154_Tm=25.0	4
29364_Tm=51.2	4
28159_Tm=90.1	4
2669_Tm=45.1	4
28276_Tm=49.7	4
30150_Tm=50.3	4
26311_Tm=38.3	4
3062_Tm=51.3	4
28440_Tm=70.5	4
31077_Tm=46.0	4
26356_Tm=50.0	4
3217_Tm=50.2	4
26361_Tm=44.5	4
3409_Tm=40.0	4
26367_Tm=47.6	4
26568_Tm=49.5	4
28605_Tm=53.9	4
29281_Tm=44.2	4
28654_Tm=42.3	4
29341_Tm=56.6	4
28720_Tm=50.0	4
26590_Tm=59.2	4
2641_Tm=47.2	4
29598_Tm=45.3	4
2874_Tm=58.7	4
29971_Tm=45.3	4
2884_Tm=47.0	4
30144_Tm=58.4	4
28879_Tm=60.7	4
3040_Tm=49.7	4
28906_Tm=49.0	4
306_Tm=53.3	4
26461_Tm=45.2	4
30707_Tm=41.2	4
26467_Tm=39.8	4
27025_Tm=53.4	4
26499_Tm=44.4	4
31131_Tm=41.1	4
29092_Tm=43.9	4
3193_Tm=53.0	4
29096_Tm=51.9	4
3346_Tm=47.6	4
29117_Tm=35.5	4
26074_Tm=52.1	4
26500_Tm=48.3	4
3457_Tm=53.5	4
29172_Tm=36.9	4
26512_Tm=51.3	4
27503_Tm=70.7	4
25021_Tm=44.2	4
20563_Tm=51.2	4
23160_Tm=51.2	4
20769_Tm=42.2	4
24125_Tm=39.4	4
20827_Tm=38.5	4
19112_Tm=25.0	4
20854_Tm=43.6	4
23674_Tm=40.2	4
18054_Tm=47.8	4
19975_Tm=39.1	4
19983_Tm=41.2	4
24745_Tm=46.5	4
19989_Tm=53.2	4
25083_Tm=35.9	4
20905_Tm=66.1	4
20414_Tm=45.3	4
20909_Tm=44.2	4
19246_Tm=46.1	4
18220_Tm=43.4	4
23712_Tm=43.9	4
21051_Tm=47.4	4
23907_Tm=46.6	4
21150_Tm=50.5	4
20630_Tm=76.9	4
212_Tm=42.4	4
20677_Tm=42.9	4
2127_Tm=51.4	4
24800_Tm=50.2	4
21384_Tm=42.9	4
25047_Tm=37.3	4
21530_Tm=42.7	4
22932_Tm=42.2	4
21628_Tm=40.8	4
23013_Tm=50.3	4
21703_Tm=38.7	4
20416_Tm=57.6	4
1853_Tm=45.5	4
23342_Tm=51.1	4
19994_Tm=42.5	4
23560_Tm=55.4	4
25164_Tm=41.0	4
19921_Tm=49.8	4
25259_Tm=46.5	4
23716_Tm=46.5	4
2541_Tm=43.7	4
19713_Tm=75.0	4
19730_Tm=37.4	4
23937_Tm=40.5	4
22548_Tm=54.1	4
24018_Tm=46.2	4
22572_Tm=89.3	4
24098_Tm=46.5	4
22614_Tm=44.2	4
19161_Tm=46.0	4
1895_Tm=40.8	4
24566_Tm=49.3	4
20163_Tm=25.0	4
24759_Tm=54.0	4
20344_Tm=53.2	4
19173_Tm=45.2	4
20353_Tm=77.3	4
25033_Tm=46.3	4
22830_Tm=25.0	4
20692_Tm=56.1	4
19111_Tm=50.3	4
20719_Tm=45.1	4
20378_Tm=56.0	4
22075_Tm=69.0	4
25332_Tm=45.6	4
22081_Tm=45.7	4
25457_Tm=50.5	4
22301_Tm=50.2	4
1890_Tm=52.8	4
19223_Tm=41.8	4
11272_Tm=43.2	4
14078_Tm=38.7	4
11389_Tm=44.0	4
10781_Tm=47.9	4
15552_Tm=48.3	4
12194_Tm=55.3	4
10613_Tm=51.1	4
11446_Tm=41.7	4
16482_Tm=50.6	4
14276_Tm=71.0	4
15379_Tm=54.9	4
10862_Tm=36.2	4
15882_Tm=60.7	4
10500_Tm=51.4	4
11853_Tm=39.4	4
10286_Tm=42.6	4
11919_Tm=46.6	4
1436_Tm=48.4	4
11978_Tm=49.1	4
14403_Tm=46.0	4
16533_Tm=55.0	4
11585_Tm=45.1	4
10758_Tm=41.3	4
12510_Tm=46.6	4
15518_Tm=39.0	4
1254_Tm=39.6	4
13258_Tm=47.1	4
11596_Tm=36.9	4
11822_Tm=41.5	4
10949_Tm=35.4	4
11842_Tm=47.4	4
11141_Tm=49.4	4
13742_Tm=38.7	4
10582_Tm=38.9	4
10276_Tm=44.6	4
15050_Tm=36.3	4
1619_Tm=41.8	4
15140_Tm=51.3	4
13861_Tm=43.6	4
17703_Tm=55.6	4
16425_Tm=46.6	4
11209_Tm=40.7	4
11399_Tm=38.0	4
11226_Tm=42.9	4
10423_Tm=46.6	4
15278_Tm=46.5	4
17394_Tm=49.4	4
11266_Tm=47.9	4
118_Tm=36.7	4
12809_Tm=38.9	4
12880_Tm=50.4	4
8523_Tm=76.3	3
7763_Tm=47.3	3
4301_Tm=46.4	3
4309_Tm=45.2	3
8070_Tm=52.1	3
3706_Tm=41.4	3
4932_Tm=49.0	3
5018_Tm=48.9	3
7570_Tm=44.4	3
6329_Tm=47.1	3
5970_Tm=37.9	3
3911_Tm=36.1	3
4265_Tm=37.0	3
635_Tm=50.1	3
9819_Tm=50.1	3
6360_Tm=51.2	3
4947_Tm=40.9	3
5052_Tm=47.7	3
7523_Tm=41.2	3
3917_Tm=48.3	3
7671_Tm=39.9	3
5102_Tm=40.5	3
787_Tm=53.5	3
5285_Tm=47.8	3
3567_Tm=36.9	3
3608_Tm=56.6	3
8195_Tm=49.4	3
5314_Tm=47.1	3
8308_Tm=58.8	3
6444_Tm=65.7	3
4266_Tm=53.7	3
3952_Tm=54.1	3
8934_Tm=41.5	3
5336_Tm=48.7	3
6269_Tm=52.9	3
3818_Tm=53.8	3
9495_Tm=46.2	3
6493_Tm=44.7	3
6296_Tm=43.2	3
6528_Tm=47.7	3
7568_Tm=89.1	3
4493_Tm=44.8	3
4745_Tm=46.2	3
3729_Tm=50.7	3
3865_Tm=50.2	3
5368_Tm=41.9	3
5926_Tm=46.8	3
5372_Tm=44.9	3
4804_Tm=38.9	3
6573_Tm=35.4	3
7934_Tm=53.9	3
6582_Tm=52.9	3
7981_Tm=43.9	3
4500_Tm=42.1	3
6033_Tm=46.2	3
5405_Tm=39.8	3
8234_Tm=47.6	3
5425_Tm=41.3	3
8275_Tm=45.1	3
6632_Tm=55.9	3
4868_Tm=41.8	3
4504_Tm=56.2	3
8532_Tm=62.4	3
6644_Tm=45.3	3
4913_Tm=48.5	3
3827_Tm=45.9	3
4926_Tm=48.5	3
6672_Tm=49.5	3
9025_Tm=52.7	3
5449_Tm=52.6	3
9230_Tm=52.2	3
6694_Tm=38.6	3
9298_Tm=49.9	3
5456_Tm=54.1	3
9478_Tm=55.3	3
3609_Tm=41.2	3
9505_Tm=52.2	3
5534_Tm=52.3	3
9682_Tm=40.1	3
409_Tm=51.3	3
4983_Tm=49.1	3
4564_Tm=51.5	3
5882_Tm=43.8	3
556_Tm=64.7	3
7569_Tm=46.6	3
4588_Tm=42.7	3
7572_Tm=53.4	3
6805_Tm=61.7	3
7624_Tm=55.5	3
6829_Tm=54.1	3
4215_Tm=45.9	3
6847_Tm=50.6	3
388_Tm=39.8	3
4623_Tm=34.8	3
7779_Tm=78.2	3
4101_Tm=48.3	3
7849_Tm=53.7	3
6891_Tm=40.7	3
5942_Tm=46.5	3
5627_Tm=51.7	3
5953_Tm=33.7	3
5645_Tm=25.0	3
7911_Tm=50.0	3
4658_Tm=46.4	3
7950_Tm=84.9	3
5661_Tm=45.4	3
599_Tm=50.0	3
4664_Tm=44.1	3
5999_Tm=91.1	3
6951_Tm=48.4	3
4839_Tm=40.0	3
4676_Tm=38.5	3
6050_Tm=48.4	3
3736_Tm=46.1	3
8206_Tm=51.7	3
5733_Tm=41.2	3
4840_Tm=46.0	3
7039_Tm=50.5	3
8267_Tm=50.7	3
7044_Tm=40.3	3
8306_Tm=57.1	3
7095_Tm=57.2	3
8390_Tm=94.3	3
4176_Tm=49.7	3
6076_Tm=50.1	3
711_Tm=57.7	3
8531_Tm=44.0	3
7118_Tm=48.8	3
8586_Tm=55.3	3
4695_Tm=49.1	3
4279_Tm=47.8	3
7156_Tm=52.8	3
4289_Tm=47.6	3
5785_Tm=48.1	3
6199_Tm=48.0	3
5794_Tm=47.3	3
8908_Tm=51.6	3
7196_Tm=53.1	3
8944_Tm=49.7	3
5798_Tm=42.5	3
6232_Tm=60.5	3
7205_Tm=51.4	3
915_Tm=43.6	3
4709_Tm=50.9	3
9231_Tm=43.3	3
5816_Tm=46.4	3
9275_Tm=39.6	3
3851_Tm=37.3	3
9390_Tm=61.4	3
7325_Tm=48.7	3
942_Tm=46.4	3
7328_Tm=43.8	3
9491_Tm=50.4	3
5838_Tm=43.9	3
3702_Tm=40.4	3
4196_Tm=50.3	3
9509_Tm=77.4	3
7397_Tm=60.3	3
6294_Tm=40.5	3
7408_Tm=44.0	3
9701_Tm=37.8	3
4207_Tm=47.9	3
9739_Tm=48.5	3
5870_Tm=53.2	3
7475_Tm=51.3	3
6141_Tm=53.8	3
9771_Tm=49.4	3
6184_Tm=46.3	3
6189_Tm=50.6	3
6344_Tm=57.3	3
3424_Tm=35.5	3
27095_Tm=43.4	3
30663_Tm=46.0	3
25582_Tm=40.0	3
28691_Tm=45.2	3
26458_Tm=56.9	3
30479_Tm=50.1	3
28090_Tm=37.7	3
30768_Tm=55.2	3
28129_Tm=54.3	3
31186_Tm=41.4	3
28137_Tm=45.9	3
25629_Tm=48.8	3
27730_Tm=39.9	3
25857_Tm=47.2	3
27581_Tm=41.0	3
26868_Tm=47.1	3
26471_Tm=39.0	3
2855_Tm=53.6	3
28182_Tm=45.8	3
27993_Tm=44.0	3
29034_Tm=49.2	3
2858_Tm=52.5	3
29047_Tm=44.8	3
31353_Tm=45.9	3
2905_Tm=47.5	3
27231_Tm=42.6	3
2822_Tm=56.8	3
27396_Tm=97.0	3
28255_Tm=55.0	3
27448_Tm=38.3	3
2827_Tm=54.3	3
27964_Tm=42.0	3
2621_Tm=46.0	3
30525_Tm=46.1	3
29143_Tm=44.3	3
28525_Tm=49.6	3
27752_Tm=50.9	3
30697_Tm=41.9	3
28287_Tm=49.1	3
25873_Tm=20.0	3
25706_Tm=47.1	3
30787_Tm=44.1	3
2920_Tm=53.1	3
31007_Tm=39.7	3
25751_Tm=38.3	3
31048_Tm=48.3	3
26242_Tm=51.2	3
26168_Tm=47.8	3
26571_Tm=20.0	3
28020_Tm=45.6	3
29255_Tm=46.0	3
25644_Tm=50.0	3
28299_Tm=51.6	3
27217_Tm=43.7	3
26243_Tm=45.8	3
28701_Tm=49.9	3
26573_Tm=45.6	3
3393_Tm=52.0	3
28316_Tm=42.3	3
26132_Tm=38.4	3
2625_Tm=54.8	3
25564_Tm=44.1	3
29347_Tm=46.8	3
25575_Tm=50.9	3
29363_Tm=62.6	3
30374_Tm=40.8	3
26150_Tm=48.6	3
30477_Tm=40.2	3
3506_Tm=52.3	3
285_Tm=45.3	3
25770_Tm=50.3	3
30554_Tm=50.4	3
29533_Tm=35.4	3
28511_Tm=33.1	3
2838_Tm=49.5	3
30649_Tm=52.7	3
25592_Tm=46.9	3
30674_Tm=55.1	3
29564_Tm=42.3	3
30699_Tm=49.5	3
28387_Tm=41.1	3
26878_Tm=36.5	3
28407_Tm=38.8	3
30761_Tm=48.4	3
29625_Tm=44.2	3
27668_Tm=51.2	3
29655_Tm=38.9	3
27024_Tm=43.1	3
29662_Tm=45.9	3
30992_Tm=49.6	3
26629_Tm=43.8	3
31016_Tm=46.1	3
25610_Tm=44.9	3
27109_Tm=42.9	3
26689_Tm=38.1	3
25882_Tm=47.6	3
29787_Tm=25.0	3
31103_Tm=40.2	3
26329_Tm=49.8	3
31138_Tm=47.2	3
25819_Tm=47.5	3
31248_Tm=46.2	3
25823_Tm=50.2	3
31348_Tm=51.5	3
2996_Tm=49.4	3
3181_Tm=51.3	3
26349_Tm=48.5	3
25917_Tm=53.4	3
27563_Tm=53.2	3
3223_Tm=45.0	3
300_Tm=54.1	3
3305_Tm=49.3	3
30032_Tm=45.3	3
27281_Tm=54.5	3
30034_Tm=46.7	3
28708_Tm=39.1	3
30035_Tm=91.6	3
27324_Tm=49.2	3
25827_Tm=43.7	3
28057_Tm=50.0	3
30096_Tm=53.0	3
3404_Tm=52.1	3
30100_Tm=53.8	3
3411_Tm=45.4	3
28452_Tm=25.0	3
3433_Tm=41.7	3
28458_Tm=49.7	3
2744_Tm=55.2	3
30207_Tm=48.6	3
28761_Tm=52.2	3
30238_Tm=45.0	3
25625_Tm=48.9	3
26583_Tm=52.5	3
3514_Tm=47.0	3
25502_Tm=41.5	3
2420_Tm=47.8	3
23822_Tm=47.4	3
2021_Tm=48.3	3
2494_Tm=47.8	3
20215_Tm=50.0	3
23559_Tm=44.6	3
20223_Tm=48.5	3
19282_Tm=33.8	3
20238_Tm=48.8	3
20021_Tm=43.3	3
20250_Tm=54.5	3
25282_Tm=42.2	3
20254_Tm=53.5	3
23226_Tm=82.8	3
20311_Tm=38.4	3
23798_Tm=47.5	3
20350_Tm=45.3	3
23878_Tm=40.1	3
20428_Tm=48.8	3
20001_Tm=35.4	3
20496_Tm=37.6	3
24287_Tm=39.8	3
20545_Tm=48.0	3
2486_Tm=52.8	3
20547_Tm=50.8	3
25156_Tm=52.0	3
20582_Tm=49.6	3
25364_Tm=77.4	3
20603_Tm=54.0	3
23153_Tm=47.7	3
20643_Tm=43.0	3
23330_Tm=48.6	3
20707_Tm=46.8	3
23637_Tm=39.4	3
19453_Tm=41.6	3
2382_Tm=87.0	3
20832_Tm=47.0	3
19980_Tm=70.3	3
18261_Tm=53.8	3
23924_Tm=52.3	3
21281_Tm=43.0	3
24060_Tm=47.2	3
21330_Tm=47.6	3
24190_Tm=41.5	3
21358_Tm=47.0	3
24253_Tm=53.7	3
1972_Tm=51.4	3
24704_Tm=63.9	3
21392_Tm=48.4	3
24780_Tm=39.9	3
2142_Tm=66.5	3
24882_Tm=42.4	3
19226_Tm=85.6	3
24981_Tm=47.0	3
21567_Tm=37.0	3
25241_Tm=57.9	3
21578_Tm=40.2	3
20091_Tm=71.7	3
21615_Tm=50.8	3
25374_Tm=57.7	3
1975_Tm=57.7	3
25510_Tm=48.6	3
18282_Tm=41.6	3
23178_Tm=51.3	3
21642_Tm=49.2	3
23275_Tm=45.7	3
1847_Tm=54.6	3
23417_Tm=52.0	3
21781_Tm=96.0	3
23585_Tm=51.1	3
21798_Tm=52.8	3
23769_Tm=44.6	3
18091_Tm=32.8	3
23817_Tm=38.0	3
21919_Tm=50.7	3
23821_Tm=41.0	3
1859_Tm=50.2	3
23824_Tm=43.0	3
21934_Tm=47.6	3
23876_Tm=86.1	3
21943_Tm=73.0	3
19984_Tm=36.7	3
21992_Tm=46.3	3
23932_Tm=44.1	3
22022_Tm=44.3	3
24053_Tm=40.8	3
1884_Tm=49.7	3
24151_Tm=45.5	3
22281_Tm=48.8	3
24181_Tm=38.6	3
22385_Tm=49.7	3
24193_Tm=46.3	3
22503_Tm=68.1	3
24214_Tm=43.8	3
22520_Tm=95.0	3
24260_Tm=47.9	3
22540_Tm=90.2	3
24693_Tm=84.4	3
19806_Tm=45.2	3
24741_Tm=46.7	3
22583_Tm=42.7	3
2475_Tm=51.0	3
22595_Tm=47.4	3
24832_Tm=37.5	3
22621_Tm=43.7	3
24870_Tm=53.8	3
22656_Tm=53.4	3
24920_Tm=76.9	3
