,e_angle,e_bond,e_dihedral,e_gb,e_elec,e_elec14,e_vdw,e_vdw14,e_tot
20.pdb,3.33647e+04,3.07011e+11,4.13794e+03,-3.20460e+03,-1.44579e+04,9.02474e+03,9.86921e+07,3.66275e+06,3.07113e+11
21.pdb,9.79879e+04,5.48573e+05,1.56532e+04,-4.01583e+03,-5.42365e+04,4.29769e+04,5.18482e+14,2.22875e+14,7.41357e+14
22.pdb,3.48071e+04,3.27496e+08,4.58028e+03,-3.92502e+03,-1.42224e+04,9.20891e+03,3.85428e+08,1.70877e+06,7.14663e+08
23.pdb,4.96218e+04,1.79565e+09,4.27017e+03,-3.11987e+03,-1.24249e+04,8.38130e+03,5.15787e+10,8.53991e+08,5.42283e+10
24.pdb,2.71533e+05,4.81012e+19,1.08843e+04,-1.41803e+04,-1.90079e+04,1.64939e+04,7.45339e+14,1.56921e+11,4.81020e+19
25.pdb,1.45000e+05,6.48291e+17,1.37068e+04,-5.87931e+03,-3.62839e+04,2.59639e+04,2.04115e+11,8.19156e+07,6.48291e+17
26.pdb,6.73315e+04,3.35951e+17,7.21423e+03,-4.68780e+03,-2.71402e+04,2.03975e+04,1.11051e+14,1.85618e+11,3.36062e+17
27.pdb,4.41332e+04,3.30205e+16,4.44594e+03,-3.86633e+03,-1.42938e+04,9.39161e+03,1.98715e+08,1.06483e+07,3.30205e+16
28.pdb,5.54776e+04,1.66803e+11,5.70664e+03,-7.23263e+03,-1.76914e+04,1.04801e+04,8.31084e+09,9.45192e+06,1.75123e+11
29.pdb,1.00942e+04,3.20416e+06,1.87419e+03,-2.37206e+03,-7.65980e+03,5.61027e+03,4.13553e+05,7.17611e+04,3.69702e+06
30.pdb,1.34646e+05,9.25377e+15,8.39862e+03,-8.03910e+03,-2.32926e+04,1.70782e+04,2.70290e+10,5.05691e+09,9.25381e+15
31.pdb,9.89345e+04,1.91430e+17,7.54599e+03,-1.10085e+04,-1.77085e+04,1.38272e+04,4.84836e+11,2.21519e+06,1.91431e+17
32.pdb,5.66709e+04,2.30468e+05,9.14974e+03,-5.08938e+03,-2.92628e+04,2.56981e+04,3.45680e+14,1.80681e+14,5.26360e+14
33.pdb,5.63021e+04,2.73925e+05,7.65791e+03,-3.68478e+03,-3.01082e+04,2.22130e+04,4.37428e+13,3.90516e+13,8.27944e+13
34.pdb,5.87870e+05,1.43202e+23,1.80593e+04,-2.80835e+04,-2.08242e+04,1.88250e+04,8.82131e+12,7.06914e+10,1.43202e+23
35.pdb,7.14031e+04,4.71829e+15,3.85507e+03,-4.32074e+03,-1.04610e+04,7.76700e+03,1.79111e+13,5.56907e+07,4.73620e+15
36.pdb,2.20369e+05,7.51758e+16,1.33602e+04,-8.31514e+03,-3.15403e+04,2.08973e+04,2.21054e+11,1.38125e+10,7.51760e+16
37.pdb,5.80923e+04,5.84476e+16,3.95623e+03,-2.22035e+03,-1.09081e+04,6.55450e+03,7.20804e+08,2.31445e+08,5.84476e+16
38.pdb,3.03780e+05,3.05543e+18,1.53974e+04,-1.26445e+04,-3.08137e+04,2.40922e+04,1.91022e+13,4.53224e+11,3.05545e+18
39.pdb,1.41818e+05,2.65296e+18,9.36929e+03,-9.71396e+03,-2.40124e+04,1.94541e+04,8.16645e+12,9.10568e+07,2.65297e+18
40.pdb,6.93973e+04,3.06057e+05,1.15243e+04,-1.13101e+03,-4.07458e+04,2.85058e+04,1.29859e+15,1.33212e+14,1.43181e+15
41.pdb,2.20567e+05,8.07528e+13,1.37813e+04,-8.08316e+03,-3.18779e+04,2.09630e+04,5.93428e+17,1.30190e+12,5.93510e+17
42.pdb,2.65575e+05,1.05817e+19,1.06320e+04,-1.33692e+04,-1.68505e+04,1.22016e+04,2.83963e+14,2.13029e+09,1.05820e+19
43.pdb,8.61760e+04,9.26527e+16,7.52923e+03,-6.89856e+03,-2.36686e+04,1.50863e+04,1.34192e+11,3.96061e+09,9.26528e+16
44.pdb,5.27513e+04,3.20836e+05,7.74233e+03,-3.27149e+03,-2.58300e+04,1.62206e+04,9.51924e+14,1.95099e+14,1.14702e+15
45.pdb,5.16353e+05,8.49801e+21,1.66809e+04,-2.60240e+04,-1.55258e+04,1.23447e+04,8.65949e+16,1.15922e+13,8.49809e+21
46.pdb,1.65338e+05,4.69565e+16,1.13879e+04,-8.79751e+03,-3.10054e+04,2.22750e+04,8.90480e+13,2.28594e+08,4.70455e+16
47.pdb,4.26373e+04,3.43950e+10,5.60795e+03,-6.53364e+03,-1.86759e+04,1.39649e+04,9.37307e+05,6.22414e+08,3.50184e+10
48.pdb,2.30248e+05,1.80295e+15,1.23913e+04,-1.44409e+04,-2.64095e+04,1.99176e+04,4.70668e+11,1.57896e+08,1.80342e+15
49.pdb,4.21082e+05,8.75788e+20,1.65224e+04,-2.30360e+04,-2.14344e+04,2.38312e+04,1.71368e+18,7.95750e+10,8.77501e+20
50.pdb,1.00797e+05,7.93830e+17,4.93018e+03,-5.44897e+03,-1.15284e+04,8.63094e+03,2.87679e+09,4.02779e+10,7.93830e+17
51.pdb,2.38084e+04,5.39770e+13,1.74918e+03,-3.04309e+03,-6.06278e+03,5.63845e+03,2.91993e+05,1.35680e+05,5.39770e+13
52.pdb,6.60536e+04,3.25395e+17,5.31984e+03,-3.70315e+03,-1.47054e+04,1.01718e+04,2.33214e+09,9.65675e+12,3.25405e+17
53.pdb,5.90122e+04,2.67692e+05,8.86631e+03,-2.54779e+03,-3.28832e+04,2.65764e+04,1.43779e+14,5.96700e+13,2.03449e+14
54.pdb,1.25527e+05,9.32408e+16,1.18708e+04,-7.71528e+03,-3.62319e+04,2.49723e+04,3.20484e+08,1.17704e+10,9.32409e+16
55.pdb,4.67707e+05,2.04667e+19,1.69928e+04,-2.49995e+04,-1.96736e+04,1.84027e+04,5.01364e+13,1.08911e+10,2.04667e+19
57.pdb,7.04421e+04,2.83509e+05,1.24605e+04,-5.59201e+03,-4.51410e+04,3.40173e+04,3.22877e+14,3.55617e+13,3.58439e+14
59.pdb,3.42175e+05,4.39381e+19,2.19910e+04,-1.26426e+04,-4.42193e+04,2.50802e+04,3.94658e+12,5.97705e+10,4.39381e+19
60.pdb,1.22595e+05,1.99616e+18,7.87253e+03,-9.38936e+03,-2.51049e+04,1.80779e+04,1.58048e+16,2.92284e+11,2.01197e+18
61.pdb,8.62483e+04,3.51486e+17,5.97981e+03,-6.82850e+03,-1.49865e+04,1.06629e+04,6.57875e+11,2.07210e+08,3.51487e+17
62.pdb,4.72732e+04,5.33166e+14,4.26621e+03,-4.73167e+03,-1.26128e+04,7.56211e+03,8.25411e+14,2.89199e+06,1.35858e+15
63.pdb,1.38227e+05,8.82055e+05,2.20919e+04,-1.73136e+03,-7.07576e+04,6.22361e+04,7.99950e+15,5.51559e+14,8.55106e+15
64.pdb,1.53669e+05,1.51106e+16,8.33988e+03,-8.16045e+03,-1.73014e+04,9.47143e+03,8.37910e+14,1.21942e+11,1.59486e+16
65.pdb,9.64166e+03,2.54357e+09,1.23809e+03,-1.22039e+03,-3.90028e+03,3.14327e+03,1.26645e+05,6.82379e+04,2.54377e+09
66.pdb,3.36670e+05,5.52344e+21,1.37753e+04,-2.35493e+04,-1.74178e+04,1.91586e+04,5.10390e+13,1.05243e+11,5.52344e+21
67.pdb,1.09919e+04,3.23021e+04,3.67800e+03,-3.30720e+03,-1.68515e+04,1.12340e+04,1.30666e+06,1.82813e+06,3.17284e+06
68.pdb,1.04628e+05,5.44630e+05,1.62553e+04,-4.54740e+02,-5.75140e+04,4.25843e+04,3.05401e+15,5.94812e+14,3.64882e+15
69.pdb,8.74185e+03,9.70721e+05,1.75882e+03,-2.28100e+03,-8.07306e+03,5.63009e+03,4.10544e+05,2.68333e+05,1.65537e+06
70.pdb,1.21643e+04,1.09309e+13,1.71051e+03,-2.44301e+03,-8.12177e+03,5.67142e+03,4.32344e+16,5.02400e+05,4.32454e+16
71.pdb,5.87954e+03,2.52824e+08,1.71277e+03,-2.32320e+03,-8.08347e+03,5.69210e+03,1.35498e+07,3.29754e+05,2.66706e+08
72.pdb,1.23442e+04,1.39618e+08,1.76659e+03,-2.44181e+03,-7.94646e+03,5.58564e+03,1.76898e+06,2.67749e+06,1.44073e+08
73.pdb,1.35558e+04,7.03573e+07,1.75409e+03,-2.53953e+03,-7.74520e+03,5.35971e+03,4.38870e+04,1.76049e+04,7.04292e+07
74.pdb,1.27164e+04,4.69741e+08,1.75463e+03,-2.47922e+03,-7.75505e+03,5.51724e+03,1.62611e+08,7.85833e+07,7.10945e+08
75.pdb,2.06165e+04,7.33946e+08,1.81258e+03,-2.74559e+03,-7.74652e+03,5.34673e+03,3.06754e+08,3.22209e+04,1.04075e+09
76.pdb,1.07892e+04,9.94760e+07,1.73244e+03,-2.33733e+03,-8.06194e+03,5.64069e+03,3.67029e+05,9.98773e+04,9.99507e+07
77.pdb,1.77148e+04,3.77265e+07,1.84235e+03,-3.01937e+03,-7.39485e+03,5.35513e+03,7.18245e+07,1.84040e+04,1.09584e+08
78.pdb,1.03888e+04,1.26244e+07,1.79232e+03,-2.49850e+03,-7.91045e+03,5.73152e+03,3.64576e+06,2.18909e+08,2.35187e+08
79.pdb,6.85280e+03,3.02751e+07,1.72665e+03,-2.40849e+03,-7.93436e+03,5.50272e+03,2.13422e+05,9.07050e+04,3.05830e+07
80.pdb,1.08758e+04,1.64405e+09,1.79368e+03,-2.35074e+03,-7.99056e+03,5.45136e+03,4.34601e+06,7.03384e+04,1.64848e+09
81.pdb,1.00255e+04,5.75749e+08,1.83301e+03,-2.45945e+03,-7.86245e+03,5.45207e+03,6.61171e+05,5.03787e+04,5.76468e+08
82.pdb,6.50260e+03,7.05316e+09,1.77343e+03,-2.34712e+03,-8.02485e+03,5.65851e+03,4.92425e+05,1.70267e+05,7.05383e+09
83.pdb,4.91997e+04,1.96271e+05,8.68438e+03,-3.03279e+03,-3.49086e+04,2.97044e+04,1.84753e+14,1.15709e+14,3.00462e+14
84.pdb,8.23586e+04,4.18225e+05,1.25384e+04,-1.89599e+02,-4.91733e+04,4.60379e+04,3.99835e+15,9.09021e+14,4.90737e+15
85.pdb,1.23320e+05,7.25439e+16,1.00953e+04,-8.10262e+03,-2.71115e+04,2.06785e+04,7.60228e+11,1.99320e+09,7.25446e+16
86.pdb,1.87288e+04,4.72667e+06,3.43249e+03,-3.19754e+03,-1.35004e+04,8.97710e+03,2.09572e+07,8.23926e+06,3.39376e+07
87.pdb,3.60501e+05,2.10902e+21,1.83728e+04,-1.92792e+04,-3.01299e+04,2.36933e+04,2.02917e+12,5.74892e+11,2.10902e+21
88.pdb,4.24752e+04,2.75137e+10,4.06696e+03,-3.26754e+03,-1.25813e+04,7.47872e+03,2.34086e+09,2.93005e+06,2.98575e+10
89.pdb,1.87257e+05,1.75428e+17,7.57649e+03,-7.96814e+03,-1.50148e+04,1.14526e+04,1.24853e+12,2.34758e+11,1.75430e+17
90.pdb,3.93885e+05,4.15254e+21,1.87948e+04,-1.59155e+04,-3.09174e+04,1.99862e+04,5.81572e+12,2.95942e+14,4.15254e+21
91.pdb,8.13386e+04,3.94841e+05,1.28073e+04,-4.06962e+03,-5.08409e+04,4.40071e+04,5.68194e+14,8.99180e+13,6.58112e+14
92.pdb,1.00210e+05,4.42035e+05,1.53194e+04,-5.32494e+03,-5.51243e+04,4.41484e+04,4.19624e+15,1.13123e+15,5.32748e+15
93.pdb,5.43827e+04,1.42178e+11,6.57690e+03,-5.98546e+03,-2.45852e+04,1.72655e+04,4.53520e+08,3.44530e+06,1.42635e+11
94.pdb,1.04203e+05,5.88947e+05,1.74257e+04,-7.66278e+03,-5.86359e+04,5.18452e+04,8.69071e+14,3.13634e+14,1.18271e+15
95.pdb,1.40425e+05,1.32969e+06,1.90533e+04,-8.78643e+03,-5.99190e+04,6.51930e+04,1.16907e+16,3.98311e+15,1.56738e+16
96.pdb,8.36248e+04,3.60083e+05,1.44547e+04,-7.70843e+03,-4.53558e+04,4.04530e+04,2.11006e+14,1.52520e+13,2.26258e+14
97.pdb,1.17239e+05,1.01216e+06,1.77518e+04,-7.23514e+03,-6.85806e+04,6.18822e+04,1.29792e+16,4.24828e+15,1.72275e+16
98.pdb,2.88704e+04,1.11144e+05,7.67154e+03,-8.22816e+03,-2.83966e+04,2.21806e+04,6.85803e+11,6.54274e+11,1.34008e+12
99.pdb,9.95528e+03,1.77045e+05,3.02051e+03,-2.28060e+03,-1.25067e+04,7.16412e+03,5.51095e+06,3.65094e+04,5.72986e+06
101.pdb,2.74001e+04,1.16521e+05,4.50885e+03,-4.60691e+03,-1.82048e+04,1.57710e+04,4.22450e+14,4.46023e+14,8.68474e+14
102.pdb,2.62251e+04,8.46311e+08,5.48318e+03,-4.94099e+03,-2.24014e+04,1.54114e+04,6.41874e+05,1.85477e+05,8.47158e+08
103.pdb,8.30400e+04,1.69032e+16,6.76453e+03,-4.56364e+03,-2.26909e+04,1.62503e+04,3.38659e+07,4.00745e+09,1.69032e+16
104.pdb,2.56270e+05,1.13334e+20,1.55043e+04,-1.09652e+04,-3.39765e+04,2.45887e+04,1.64922e+13,2.57906e+08,1.13334e+20
105.pdb,2.04699e+05,3.16211e+19,1.46225e+04,-8.16118e+03,-3.50632e+04,2.23146e+04,1.01533e+19,5.42459e+10,4.17744e+19
106.pdb,1.45288e+05,5.53766e+17,8.48120e+03,-1.07335e+04,-2.17780e+04,1.69859e+04,6.71432e+10,1.22058e+07,5.53766e+17
107.pdb,3.56564e+04,6.94605e+12,5.74360e+03,-4.30736e+03,-2.02772e+04,1.29224e+04,2.46282e+09,4.41022e+06,6.94852e+12
108.pdb,1.09627e+04,3.21037e+04,3.49990e+03,-2.78778e+03,-1.16328e+04,8.07338e+03,5.18342e+08,1.12864e+07,5.29669e+08
109.pdb,7.40936e+05,3.02044e+22,2.90529e+04,-4.21644e+04,-3.59017e+04,3.61768e+04,6.10380e+16,1.23646e+14,3.02045e+22
110.pdb,6.97014e+05,4.17225e+22,2.55574e+04,-3.92634e+04,-3.02306e+04,2.87455e+04,6.20087e+17,1.41681e+14,4.17231e+22
111.pdb,2.65871e+04,3.50367e+10,4.85048e+03,-3.87034e+03,-1.76171e+04,1.15817e+04,1.97608e+07,3.97755e+05,3.50569e+10
112.pdb,3.01041e+05,4.15648e+19,1.24036e+04,-1.86858e+04,-1.83327e+04,1.58403e+04,4.29762e+15,3.38042e+08,4.15691e+19
113.pdb,3.49310e+04,4.58075e+13,5.58033e+03,-4.58122e+03,-2.00445e+04,1.16604e+04,5.22544e+06,6.29774e+05,4.58075e+13
114.pdb,1.06880e+05,5.02179e+17,9.18739e+03,-8.49160e+03,-2.99445e+04,2.28396e+04,1.29245e+11,2.38236e+06,5.02179e+17
115.pdb,9.24849e+04,5.28200e+17,1.04281e+04,-6.04230e+03,-2.98890e+04,1.48498e+04,1.38521e+10,4.32530e+08,5.28200e+17
116.pdb,3.33484e+04,1.08351e+15,6.17706e+03,-5.72183e+03,-2.12757e+04,1.25654e+04,8.57531e+11,3.73605e+05,1.08437e+15
117.pdb,2.96686e+04,1.50084e+05,5.77288e+03,-3.69762e+03,-1.86263e+04,1.39387e+04,8.55671e+13,6.77201e+11,8.62443e+13
118.pdb,1.78097e+05,8.00906e+05,2.65649e+04,-1.39725e+04,-8.38114e+04,7.50848e+04,1.46389e+15,3.36127e+14,1.80002e+15
119.pdb,1.80303e+05,8.85299e+05,2.57953e+04,-1.10570e+04,-8.76503e+04,7.60312e+04,3.40311e+15,1.02239e+14,3.50535e+15
120.pdb,1.71843e+05,8.08581e+05,2.60341e+04,-1.32106e+04,-8.33352e+04,7.57786e+04,1.34262e+15,2.63468e+14,1.60609e+15
121.pdb,1.73089e+05,7.39916e+05,2.56999e+04,-1.37798e+04,-8.00041e+04,7.62211e+04,9.00203e+14,6.94037e+13,9.69606e+14
122.pdb,3.45336e+04,1.20272e+05,6.53787e+03,-6.48388e+03,-2.45215e+04,1.92004e+04,4.45515e+14,2.57794e+13,4.71294e+14
123.pdb,1.47547e+05,1.25260e+06,2.10659e+04,-4.79959e+04,-2.25296e+04,6.90528e+04,1.03901e+17,6.10460e+15,1.10005e+17
124.pdb,1.43207e+05,8.88671e+05,2.18061e+04,-6.19200e+03,-6.12698e+04,5.67226e+04,2.35546e+16,3.15703e+15,2.67116e+16
125.pdb,3.14864e+04,6.11641e+09,6.45551e+03,-6.25312e+03,-2.24091e+04,1.57071e+04,5.25292e+06,2.15175e+07,6.14321e+09
126.pdb,1.02646e+05,5.35939e+05,1.39229e+04,-5.20844e+03,-4.49967e+04,3.96553e+04,1.34732e+15,2.95554e+14,1.64287e+15
127.pdb,8.02315e+04,8.46867e+13,2.90152e+03,-4.90346e+03,-4.35387e+03,3.59510e+03,7.23162e+09,2.26798e+10,8.47166e+13
128.pdb,2.01720e+03,3.71083e+03,8.70759e+02,-1.03067e+03,-3.67427e+03,2.71617e+03,8.01416e+02,1.16266e+03,6.57410e+03
129.pdb,1.91014e+05,2.16404e+06,2.69170e+04,-3.85467e+03,-8.98886e+04,7.83629e+04,5.10360e+16,9.19878e+15,6.02348e+16
130.pdb,1.62602e+05,6.17519e+14,9.64590e+03,-7.03863e+03,-2.41030e+04,1.70565e+04,3.25327e+12,1.72995e+08,6.20773e+14
131.pdb,5.98062e+04,2.17778e+05,8.10416e+03,-8.33244e+03,-3.06733e+04,3.12540e+04,6.99385e+13,3.16613e+13,1.01600e+14
132.pdb,4.37112e+04,1.79369e+05,9.81094e+03,-7.67790e+03,-3.68292e+04,2.49716e+04,1.55995e+14,3.75109e+13,1.93506e+14
133.pdb,1.72556e+04,3.03372e+16,5.15182e+03,-4.35180e+03,-2.07739e+04,1.27882e+04,3.43346e+05,3.88749e+05,3.03372e+16
134.pdb,1.31923e+04,4.17515e+12,3.84658e+03,-3.19798e+03,-1.58946e+04,1.04360e+04,1.26113e+11,1.70118e+05,4.30126e+12
135.pdb,4.51925e+04,1.64147e+05,7.53524e+03,-5.97261e+03,-2.74480e+04,2.46958e+04,1.73213e+14,4.82478e+10,1.73261e+14
136.pdb,1.96893e+05,4.31140e+16,1.12012e+04,-9.90465e+03,-2.62683e+04,1.92144e+04,1.84357e+12,4.29126e+07,4.31159e+16
137.pdb,1.11585e+05,7.99353e+05,1.36545e+04,-5.86724e+03,-5.48490e+04,4.85797e+04,1.21012e+15,3.70251e+14,1.58038e+15
138.pdb,1.41131e+05,1.04029e+17,8.08627e+03,-5.80387e+03,-1.90805e+04,1.36417e+04,5.41976e+14,1.53661e+10,1.04571e+17
139.pdb,4.41811e+05,7.52436e+20,1.87085e+04,-2.52210e+04,-2.72302e+04,1.95362e+04,1.72247e+16,5.01971e+11,7.52453e+20
140.pdb,9.10820e+04,3.92833e+05,1.40528e+04,-5.42933e+03,-4.75639e+04,3.49119e+04,2.19853e+15,3.48221e+14,2.54675e+15
141.pdb,3.70818e+04,7.35533e+10,5.03051e+03,-4.87375e+03,-1.63365e+04,1.02348e+04,9.38428e+08,2.31243e+05,7.44920e+10
142.pdb,1.67051e+05,8.31388e+17,1.08412e+04,-7.43825e+03,-2.46360e+04,1.79729e+04,1.84093e+10,1.43515e+08,8.31388e+17
143.pdb,5.42643e+04,1.58361e+12,7.39694e+03,-4.49263e+03,-2.63436e+04,1.80058e+04,6.26768e+09,9.41805e+05,1.58988e+12
144.pdb,2.43566e+05,7.00709e+06,2.42665e+04,-1.34319e+04,-7.07116e+04,7.03325e+04,4.55205e+16,1.23109e+16,5.78315e+16
145.pdb,2.65402e+04,4.51166e+09,2.41310e+03,-2.60755e+03,-7.22815e+03,4.72531e+03,3.52416e+06,3.50302e+06,4.51872e+09
146.pdb,4.51679e+04,4.92700e+10,6.88728e+03,-5.62035e+03,-2.44096e+04,1.66619e+04,5.96335e+07,1.13376e+08,4.94431e+10
147.pdb,9.28655e+04,7.22531e+13,5.33515e+03,-5.07070e+03,-1.08264e+04,7.33007e+03,1.73759e+08,9.39948e+07,7.22533e+13
148.pdb,6.11021e+04,1.83689e+18,3.52021e+03,-3.54503e+03,-7.83759e+03,5.33187e+03,1.46624e+13,1.01154e+09,1.83690e+18
149.pdb,1.48226e+05,2.14499e+17,9.50297e+03,-9.20750e+03,-2.22773e+04,1.51218e+04,9.73606e+13,9.09068e+06,2.14596e+17
150.pdb,1.00579e+05,1.71691e+17,6.56908e+03,-5.47159e+03,-1.83541e+04,1.50470e+04,4.83044e+09,3.16100e+11,1.71691e+17
151.pdb,2.55102e+04,3.05733e+07,6.02281e+03,-4.17210e+03,-2.28384e+04,1.49671e+04,6.72048e+08,1.83392e+08,8.86032e+08
152.pdb,5.80145e+04,6.73666e+13,4.45812e+03,-5.30409e+03,-1.31437e+04,8.62752e+03,1.45184e+12,7.24058e+10,6.88909e+13
153.pdb,7.20342e+04,3.80814e+05,1.14908e+04,-2.37299e+03,-3.98812e+04,2.96475e+04,2.53475e+14,4.00600e+13,2.93535e+14
154.pdb,3.55881e+04,2.85481e+10,4.20234e+03,-3.55397e+03,-1.42648e+04,8.50534e+03,2.45300e+06,1.53421e+06,2.85521e+10
155.pdb,2.68509e+04,1.22355e+08,5.38080e+03,-3.83312e+03,-2.01998e+04,1.22812e+04,4.45544e+05,2.79444e+06,1.25616e+08
156.pdb,5.49767e+04,2.95293e+14,4.04127e+03,-3.42991e+03,-1.00324e+04,6.90068e+03,1.67397e+09,1.42314e+07,2.95295e+14
157.pdb,8.80908e+04,2.35630e+16,4.37571e+03,-4.19032e+03,-1.02249e+04,7.38189e+03,1.94179e+11,5.41834e+12,2.35686e+16
158.pdb,3.12194e+04,1.16921e+05,6.74901e+03,-3.94395e+03,-2.39227e+04,1.16741e+04,3.22361e+14,2.25399e+13,3.44901e+14
159.pdb,1.66939e+04,2.42812e+07,4.08903e+03,-3.63291e+03,-1.55819e+04,9.89462e+03,7.37815e+04,4.06593e+04,2.44072e+07
160.pdb,2.00510e+05,3.25468e+18,1.12520e+04,-9.18669e+03,-2.56021e+04,1.57083e+04,9.52337e+12,8.54726e+09,3.25469e+18
161.pdb,2.75840e+05,9.89048e+18,1.37028e+04,-1.32377e+04,-2.60620e+04,1.84377e+04,7.96462e+14,8.34146e+12,9.89128e+18
162.pdb,8.26324e+04,4.50451e+15,8.50191e+03,-7.48825e+03,-2.73426e+04,1.79313e+04,2.32562e+12,6.52836e+06,4.50683e+15
163.pdb,1.46766e+05,8.55388e+16,7.41618e+03,-7.86216e+03,-1.38027e+04,9.72819e+03,7.05606e+13,1.67415e+10,8.56094e+16
164.pdb,5.97474e+04,2.92765e+05,1.22066e+04,-1.83888e+03,-4.11996e+04,2.84056e+04,8.85560e+14,4.35208e+12,8.89912e+14
165.pdb,1.72206e+05,1.80644e+16,1.00263e+04,-1.00172e+04,-2.04800e+04,1.48832e+04,2.16478e+13,8.92391e+08,1.80860e+16
166.pdb,2.58724e+04,3.13129e+19,3.42853e+03,-4.16315e+03,-1.36708e+04,1.01566e+04,7.68482e+07,2.42917e+05,3.13129e+19
167.pdb,6.04504e+04,2.21749e+05,1.10055e+04,-4.75106e+03,-3.97060e+04,2.75799e+04,8.74394e+13,4.92615e+13,1.36701e+14
168.pdb,4.28072e+04,2.50057e+13,2.75669e+03,-3.89023e+03,-7.64655e+03,5.54393e+03,4.82192e+09,1.02912e+08,2.50107e+13
169.pdb,2.86181e+05,6.20277e+18,1.50030e+04,-1.91126e+04,-3.32090e+04,2.55729e+04,1.27104e+14,2.88855e+10,6.20290e+18
170.pdb,2.05658e+05,1.91127e+19,1.19545e+04,-1.15122e+04,-2.08522e+04,1.47008e+04,2.08067e+11,5.68011e+07,1.91127e+19
171.pdb,2.50068e+05,2.77851e+22,1.25708e+04,-1.47086e+04,-2.62110e+04,2.19228e+04,1.58751e+13,9.67174e+10,2.77851e+22
172.pdb,1.18604e+05,4.57315e+05,1.47747e+04,-2.80856e+03,-7.21806e+04,6.42078e+04,9.70833e+15,5.92446e+15,1.56328e+16
173.pdb,1.13103e+05,9.99792e+15,6.77395e+03,-5.83304e+03,-1.87908e+04,1.50299e+04,8.97628e+12,5.27872e+10,1.00070e+16
174.pdb,4.77679e+04,1.09569e+17,2.90121e+03,-4.93240e+03,-4.11802e+03,5.26600e+03,3.05557e+08,2.88968e+06,1.09569e+17
175.pdb,1.14731e+05,8.91624e+14,6.71821e+03,-9.50387e+03,-1.32017e+04,1.02735e+04,1.13285e+12,1.79597e+09,8.92759e+14
176.pdb,6.21002e+04,3.05560e+05,1.08352e+04,-6.42421e+03,-3.82580e+04,3.26126e+04,6.74182e+14,2.99146e+14,9.73329e+14
177.pdb,4.04233e+04,1.96382e+18,4.63567e+03,-2.45354e+03,-1.65706e+04,1.11298e+04,7.01471e+09,2.07309e+07,1.96382e+18
